stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,696.82,9876.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.26,0,0,0,0,0,0,0,0,0
  5-6,326.71,6175.46,0,10.68,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,217.49,0,0,0,75.33,0,70.91,0,0,0,0,0,0,0,0,0
  7-9,17.21,117.46,0,158.21,0,0,196.2,0,0,0,87.45,0,0,0,0,0,0,0,0,0,2341.62,42.32,0,0,741.83,0,0,10.76,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,58.53,0,0,89.8,0,0,0,27.79,0,0,0,0,0,0,0,0,3.87,727.56,18.73,0,0,263,0,0,6.03,0,29.59,0,0,0,0,0,0
 14-21,0,0,1.24,10.88,88.64,0,6.16,0,1.09,3.39,0,0,1.47,0,0,0,21.59,0,0,12.06,130.58,0,2.04,3.28,23.44,0,0.89,0.99,25.12,0.91,16.87,28.14,0,0,0,0
 24-34,0,0,1.26,6.06,17.39,0,8.69,0,0,2.01,0,1.46,0.61,0,0,0,11.45,0.69,0,2.23,60.86,0,10.86,2.67,0,0,4.46,0,0,0,0,6.13,0,0,1.31,3.46
 36-46,0,0,0,0,2.97,0,4.53,0,0,0,0.7,1.06,0,0,0,0,2.61,0,0,0.64,21.95,0,4.97,0.61,0,0,1.85,0,0,0,0,0.95,0,0,0,0
 48-58,0,0,0,0,20.17,0,3.83,0,0.65,0,1.43,0,0,0,0.39,3.29,0,0.63,0,0,27.51,0,4.12,0.39,0,0,1.35,0,0,0,0,1.05,0,0,0,0
 60-70,0,0,0,0,0,0,2.52,0,0.76,0.62,2.15,1.47,0,0,0,0,1.26,0,0,1.61,16.03,0,9.23,0,0,0.84,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.84,0,1.9,0,0.87,0.68,0,0,0,2.36,0,0,1.53,0,3.33,1.01,0.88,0,26.75,0,0.7,0,0,0,0,0,0,0,0,4.39,0,0,0,0
 84-94,0,0,0,0,0,0,2.03,0,0,0,2.58,0.63,0,0,0,0,6.58,1.27,0,0,18.92,0,1.55,0,0,0,0.56,0,0,0,0,0,0,0,2.8,0
 96-106,0,0,5.2,0,2.06,0,0.59,0.84,0.8,0,0,0.65,0,0,0,0,5.91,0,0,0,11.39,0,3.71,0.6,0,0,0,0,0,0,0,0,0,3.26,0.67,0
108-118,0,0,3.84,0,1.59,0,5.67,3.61,2.46,1.02,0,0.45,0.49,0,1.17,0,5.35,0,0,0.45,21.12,0,0.59,0,0,3.72,0,0,0,0,0,0,0.81,0,0.49,0
120,0,0,0,0,5.21,4.24,1.69,0,0,9.78,0,0,0,6.33,4.94,0,11.27,0,0,0,15.27,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0
