stage,eye,glial,melanocytes,mesenchyme,neural,spinal.cord
 14-21,0,0,0.86,0,2.72,0
 24-34,0,0,0,0,3.62,0
 36-46,0.66,0,0,0.67,2.06,0
 48-58,0,0.86,0,0.9,0,6.04
 72-82,0.92,0,0,1.25,0,0
 84-94,0,0,0,0,3.99,0
108-118,0,0,0,1.05,0,0
120,0,2.57,0,0,0,0
