stage,blastomeres,neural,notochord,paraxial_mesoderm,spinal_cord
  5-6,43.16,0,11.17,8.57,0
 10-12,0,21.19,3.95,10.8,3.51
 48-58,0,0,0,0,1.47
108-118,0,1.91,0,0,0
120,0,8.94,0,0,0
