stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.12,933.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.72,1424.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,0,0,0,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,33.38,18.7,0,17.6,0,0,0,76.66,0,0,0,0,0,12.87,0,0,0,0,0,0,0,0,0,0,510.23,9.4,0,0,191.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.77,0,27.52,0,6.59,0,62.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682.15,3.96,0,0,148.55,0,0,0,4.19,31.49,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,5.74,76.5,28.57,0,38.99,0,0,0,9.29,5.6,0,0,0,1.16,0,0,0,39.75,0,0,35.04,589.67,7.7,7.46,2.74,10.23,0,7.91,0.91,64.32,4.54,0,57.98,158.46,0,0,6.01,0,0
 24-34,0,0,0,2.73,17.31,3.78,0,75.38,0,1.33,2.19,29.32,1.44,0.76,3.3,0,0.69,0,0,0,96.38,0,1.91,31.68,853.98,3.47,5.24,5.81,0,3.82,16.74,0,0,0,0,5.9,171.37,0,0,13.94,0,1.97
 36-46,0,0,0,0.63,8.67,0,0,83.27,1.81,4.59,0.78,43.71,2.32,0,0.71,0,0,0,1.37,0.59,69.87,0,0.86,17.71,583.31,0,7.65,6.36,0,0,19.7,0,0,0.81,0,0,144.53,0,0,6.55,0,0.71
 48-58,0,0,0,0,24.42,0,0,182.17,0.45,0,7.34,60.73,0,0,0.56,0,0,0,1.3,0,103.27,3.5,2.98,24.37,369.08,7.33,1.62,1.43,0,0,18.13,0,0,0.38,0.4,0,109.1,0,0,6.88,0,1.7
 60-70,0,0,0,0,16.75,0,0,162.75,0,0,0.93,48.01,0,0,0,0,0,0,0,0,97.47,0,3.63,9.91,321.83,0,4.51,2.77,0,0,7.77,0,0,0,0,0,73.19,0,2.83,5.18,0,0
 72-82,0,0,0.53,0,5.63,0,0,103.11,0,4.73,0,35.86,1.21,0,0.5,2,0.58,8.87,1.76,0,97.49,0.75,3.12,9.7,236.85,0,1.84,3.22,0,0,4.99,0,0,0,0,0,35.75,0,2.64,12.75,0,0
 84-94,0,0,0.74,0,7.82,0,0,73.47,3.31,0,5.51,54.15,2.7,0,2.81,3.07,3.3,0.58,0,3.63,67.83,0,2.47,4.14,163.32,0.66,0,9.11,0,0,11.75,0,0,0.94,0,0,13.76,1.4,5.35,15,1.45,4.35
 96-106,0,0,1.28,0,12.32,1.8,0,54.31,0.71,2.67,3.77,55.87,2.39,0,0.58,4.8,0,1.14,1.77,0,68.98,0,1.41,3.65,129.9,2.14,6.15,7.41,0,0,13.8,0,0,0,0,0,16.96,0,4.22,12.4,3.7,5.93
108-118,0,0,0,0,12.11,0,0.52,50.13,0,1.51,2.15,59.63,1.48,0,1.29,0.43,1.39,1.65,0,8.24,67.74,1.25,5.17,7.74,146.81,0.51,0.72,5.26,0,1.96,11.69,0,0,0.62,0.44,0,13.66,0,0,4.91,0,0.74
120,0,0,0,0,14.76,0,0,34.51,0,0,0,54.67,0,0,0,1.11,6.91,0,0,0,86.1,1.93,0,4.64,157.92,2.19,1.45,3.58,0,0,22.35,0,0,0,0,0,14.95,0,2.93,4.69,0,3.58
