stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,205.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.48,443.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,10.41,0,0,11.74,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,25.44,0,0,0,56.4,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,476.58,29.44,0,0,135.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,30.12,0,0,0,49.59,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,380.11,3.1,0,0,173.82,4.05,6.79,6.12,15.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.86,17.26,1.92,0,5.61,0,0,0,1.11,0,3.41,0,0,3.15,0,0,0,1.07,10.74,0,0,6.07,112.49,1.15,0,1.82,2.32,1.89,0,14.4,4.29,0,8.87,31.49,0,0,0,0,0
 24-34,0,0,0.67,0,3.57,0,0,28.08,0,0,3.74,1.25,0,0,0,0,1.5,0,0,0.6,0.62,19.14,0,0,8.15,220.15,2.12,11.21,2.36,0,12.91,0,0,0.65,0.62,0.75,56.11,0,0,8.6,0,0.69
 36-46,0,0,0,0,5.56,0,0,27.74,0.67,0,0,7.08,0,0,0.99,2.12,0,0,1.61,0,0.66,24.65,0,2.04,3.24,181.86,0,0,0.56,0,8.48,1.61,0,3.56,0,0,70.29,0,0,2.01,0,0
 48-58,0,0,0,0,6.02,0,0,64.26,0,0.5,0.39,19.34,0,0,0,0,0,0,0,5.27,5.73,30.31,0,1.64,6.14,195.41,4.7,0.58,0,0,9.81,0,0,0.56,1.03,0,56.88,0,0,5.19,0,10.53
 60-70,0,0,0,0,2.34,0,0,120.26,4.33,1.81,2.4,11.28,2.03,0,3.79,0,0,0,0,1.45,0,34.7,0,2.08,5.58,183.06,0,0.74,0,0,24.95,0,0,0,0,0,28.39,0,0,0,0,10.35
 72-82,0,0,0.86,0,2.62,4.19,0,64,0,0,1.59,16.05,0.66,0,0.55,0,1.15,0.93,3.78,0,0,37.36,0,2.58,2.17,155.15,0.66,0,0,0,2.28,0,0,4.56,2.04,0,14.56,6.61,0,5.58,0.73,0
 84-94,0,0,0,0,5.92,12.94,0,67.8,0,0,6.78,20.26,1.68,0,0,1.2,0,0,0,0,0.56,26.62,0,2.34,1.8,94.16,0.65,1.53,4.6,0,8.23,0,0,3.33,0,0,6.89,1.03,0,4.02,0.81,11.23
 96-106,0,0,1.36,0,3.32,26.28,0.59,44.34,1,0,0,16.96,2.43,0,1.66,3.09,0.75,1.7,0,0,0,15.59,0,0.59,9.8,64.34,0,0.59,1.86,0,19.22,0,0,0,0,0,5.9,0,1.48,7.73,1.33,17
108-118,0,0,1.34,0,10.14,0.45,0,32.51,0.66,0.94,5.25,7.42,0.89,0,0,1.77,1.5,4.44,0,1.36,0.52,33.94,9.74,2.74,3.14,117.51,0.56,2.03,3.34,0,13.99,0,0,0,0.98,0,1.38,0.44,1.44,0,0,0.48
120,0,0,0,0,5.4,2.16,1.71,26,0,2.19,0,44.73,0,0,0,0,0,0,0,0,0,26.38,0,0,5.94,128.59,1.29,0,0,0,8.85,0,0,1.21,0,0,2.54,0,0,0,1.45,7.61
