stage,epidermis,eye,fin_epithelia,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,periderm,slow_muscle,spinal_cord
  7-9,0,0,0,0,0,0,0,7.63,3.24,0,0,0,0
 14-21,0,0,0,0,0,2.19,0,0,0,0,0,0,0.92
 24-34,0,0,0.64,0,0,1.54,1.33,10.07,0,0,0.66,0,1.5
 36-46,0.85,3.12,0,1.54,0,0,1.06,13.27,0,0,0,0,8.62
 48-58,0,3.76,0,2.01,0,1.89,0,32.32,0,0.75,0,0,2.73
 60-70,0,27.21,0,0,0,0.88,0,25.56,0,0,0,3.94,6.49
 72-82,0,30.53,0,0,0,1.6,0,45.46,0,6.1,0,0,2.33
 84-94,1.44,16.42,0,0,0.98,0,0,9.15,0,0,0,0,3.5
 96-106,0,13.69,0.56,1.67,0,0,0,28,0,0,0,0,0
108-118,1.78,10.32,0,0,0,2,0,7.98,0,0.95,0,0,0
120,0,1.92,0,0,0,10.46,0,23.52,0,0,2.57,0,0
