stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  5-6,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.23,0,7.76,0,0
 10-12,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0.83,0.9
 24-34,0,0,0,0,0,0,0,0,0.67,0,1.29,0,0,0,0.65,0
 36-46,0,0,0,0,0,0,0.78,0.56,0,0,0,0,7.24,0,0,0
 48-58,0,0,0,0,0.99,0,0.89,0,6.77,0.88,0,0,0,0,0,0
 60-70,0,0.91,0,0,0,0,1.72,0,4.37,0,0,0,0,0,0,0
 72-82,0,0,0,0.49,3,0.49,1.72,0,6.87,0,1.44,0,0,0,0,0
 96-106,0,0,10.03,0,0,1.1,0,0,0,0,0,0,0,0,0,5.77
108-118,0,0,0,0,0,0,0.62,4,2.78,0,0,0,0,0,0,2.48
120,0,0,0,0,7.17,0,0,0,4.19,0,0,0,0,0,0,0
