stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,34.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.47,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.93,0,0,0,0,0,0,0,5.15,0,3.27,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.86,0,0,1.2,0,0,0,0,1.04,0,1.99,10.25,0,0,0,0,0,2.53,2.05,0,0
 24-34,0,0,0,2.03,0,0,0,0,0.76,0,0,0,0.71,0,4.17,0,2.11,17.76,0,0,0,0,0.97,0.83,0.67,0,6.91
 36-46,0,0,0,0,0,0,1,0,0,1.56,0,0,1.74,0,6.32,0,3.13,17.05,0,0.87,0,0,0,0,0.88,0,4.11
 48-58,0,0,0,0.54,0,0,2.71,0,0,3.81,0,0,4.3,0,5.4,2.23,1.41,14.24,0.51,0,0,0,0,0,1.29,0,2.94
 60-70,0,0,0,0.63,0,0,0,0,0,0,0,0,2.73,2.48,3.78,0,2.74,15.57,0,0,0,0,0,0,0,1.84,1.48
 72-82,0,0,0.56,5.5,0,0,1.97,0,0,3.64,0,1.68,3.59,0,9.27,0.93,0,7.07,0.51,0,0,0,0,0,0,0,2.73
 84-94,0,0,0,1.49,0,0,0.66,1.49,0,0,0,0,3.9,0,29.03,3.95,0.8,11.95,3.49,0,0,0.83,0,0,4.14,0,2.62
 96-106,0,0,0,0,6.16,0,3.88,0,0,0,0,0,4.29,0,8.07,0.59,0,1.28,0,0,0,0,2.07,0,0,0,3.41
108-118,0,0,0,1.34,0,0.55,0,0,0.46,0,0,0.8,6.63,0,6.82,0.5,2.66,10.76,0,0,0,0,3.45,0,0,0,1.6
120,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,15.96,0,0,2.63,2.7,0,0,0,0,0,0,0,1.82
