stage,epidermis,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,xanthophores
 14-21,0.94,0.86,0,0,0,0,0,0,0,1.88,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.53,0,0,1.21,3.2
 36-46,0,1.02,0,0.67,0,0,0,0,0.63,2.39,0,0,0,0
 48-58,0,0,0.55,0,0,0.56,0,0,0,11.64,0,0,0,0
 60-70,0,1.07,0,0,0,0,0,2.92,0,1.78,0,0.99,0,0
 72-82,0,1.16,0.5,0,0,0,0,1.57,0,9.7,0,0,0,0
 84-94,0.57,0,3.54,0,0,0,0,1.97,0,0,0,0,0,0
 96-106,0,7.51,0,1.99,0.98,0.69,1.14,0,0,0,0.81,0,0,0
108-118,3.55,1.48,0,0.77,0,0.44,0,0,0,4.03,0,0,0,0
120,0,0,0,0,0,1,0,0,0,0,0,1.01,0,0
