stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,73.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,16.93,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,10.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.78,45.01,0,0,0,0,0,0,0,0.9,0,0,0,0,0.84,0,0,0,0
 24-34,0,0,1.48,0,0,0.83,0,222.09,0,0,0,0,0,0.62,0,6.26,0,0.69,0,0,0,1.06,0,0,0
 36-46,0,0,0,0,0,0,0,368.71,0,0,0,0,0,0,0,17.79,0,0,0,0,0,4.72,0,0,0
 48-58,0,0,2.36,0,7.91,0.39,0,807.47,0,0,0,0,0,1.62,0,33.37,0,0,0,0,0,3.05,0.55,0,1.17
 60-70,0,0,1.43,0.57,18.47,7.83,1.38,828.2,0,0,0,0,0,0.92,0,20.55,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,8.24,0.86,0,598.46,0,0.64,0,3.49,8.68,1.8,0,10.91,0,0,0,0,0,0,1.76,0,0
 84-94,0,0,0.87,0,10.32,0,0,592.95,0,0,0.89,0,0,0,0.61,14.95,0,0,0,0,0,0,0,1.02,0
 96-106,0,0,8.5,267.38,32.68,10.83,58.57,1900.81,0.92,0,21.68,21.51,0,6.55,4.21,79.81,0.62,1.99,0,4.37,0,0,7.18,0.61,9.98
108-118,0,0,5.02,1.61,6.79,0,0,592.61,1.52,6.75,0,0.99,0,2.26,0,14.48,0,0,0,1.01,0.47,0,0,0,0
120,0,0,0,0,9.14,0,0,665.76,0,0,0,0,0,0,0,23.11,0,0,0,0,0,0,0,0,0
