stage,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.65,1.04,0,1.04,1.92,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0.91,0
 36-46,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0
 48-58,0.83,0,0,0,0,0.78,0,0,0,1.42,0,0,0,0,0,0,0,0.38,0,0
 60-70,0,0,0,0,0.72,0,0,0,1.05,1.24,0,0,0,0,0,0,0,0,0,0.77
 72-82,0,0,0.74,6.4,0,0,0,0,0,0.71,0,0.66,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.8,0,0,0,0,0.95,1.4,2.39,0,0.72,0,0,0,0,0,0,0
 96-106,0,0,0,5.42,0,0.8,0.58,0,0,7.63,0,0,3.56,2.63,0,0,0,0,7.62,0
108-118,0.65,0.47,1.02,6.9,0,0,0,2.24,0,4.83,0,0,1.99,0,0.54,0,0,0,0.5,0
120,0,0,1.92,5.02,0,0,0,0,0,16.89,0,0,14.1,0,0,0,0,0,1.84,0
