stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,neural,notochord,olfactory,otic,periderm,spinal_cord
  3-4,15.28,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,10.03,0,0,0,0,4.77
 36-46,0,0,10.74,0,0,0,0,0.85,29.37,0,0,0,0,5.56
 48-58,0,0,1.29,0,1.27,0,0,0,28.31,0,0.56,0,1.64,1.19
 60-70,0,0,10.59,0,0.96,0,0,0.58,30.51,0,0,0,0.64,0
 72-82,0,0,7.92,0,0.64,0.58,0,2.37,72.69,0,0,0,0,3.99
 84-94,0,1.52,0.76,2.71,1.88,0,0,2.05,45.93,0,0,1.95,0,10.54
 96-106,0,0,3.67,0,0.61,0,0,0.82,47.64,0,4.68,0,0,0.57
108-118,0,1.26,0,0,0.48,0,0,0,40.25,0,0,1.33,0,12.34
120,0,0,33.81,0,14.9,0,1.47,13.19,117.03,0,0,7.79,0,9.81
