stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,9.25,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.02,656.71,0,0,27.23,0,0,0,18.13,0,0,0,0,0,0,0,0
 14-21,0,0,4.52,1.7,0,3.56,0,0,0,0,0,10.17,0,0,0,0,0,0,72.28,0,0,41,69.76,6633.32,0,1.61,0,0,0,8.75,0,16.17,32.32,107.77,0,0,0,0,0
 24-34,0,0,0.81,0.67,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0.8,215.16,0,0,56.96,76.14,579.57,0,0,0,0,4.25,0,0,0,0.69,101.85,0,0,0,0,0.93
 36-46,0,0,0,0,0,6.98,0,0,1.19,11.77,0,0,0.8,0,0,0,0,0,463.52,0,2.24,70.85,144.16,98.78,3.55,0,0,0,0,0,0,0,0,68.61,0,0,1.27,0,0
 48-58,0,0,1.99,0,0,26.88,0,1.68,12.89,42.06,0,0,5.13,0,9.81,0,0,0,704.47,0,5.93,67.19,71.46,25.12,0,0.43,0,0,0,0,0,0,0,37.01,0,0,0,0,0
 60-70,0,0,5.04,0,0,48.65,4.51,5.31,12.29,5.3,0,0,0,0,22.71,0,9.86,0,1207.07,0,5.14,46.99,41.23,7.49,0,1.18,0,1.9,0,0,0,0,0,5.42,0,2.99,0,3.24,0
 72-82,0,0,4.1,0,0,85.07,0.68,0,33.84,14.68,1.17,0,0,0,33.02,0,0,0,1645.19,0,32.85,58.71,72.92,0,0,7.15,0,3.06,0,0,0,0,0,4.32,0,15.84,3.36,18.74,1.38
 84-94,0,0,0.81,2.39,0,137.34,6.71,0,10.65,31.29,0,0,0,3.07,24.59,0,0,4.09,1054.14,0,12.44,42.05,32.89,0.62,0,6.87,0,1.66,1.29,0,0.92,0,0,9.86,0,5.83,0.57,32.26,0
 96-106,0,0,0.6,0,0.98,143.72,1.84,0,18.62,37.81,0,0,0,0.64,27.97,1.25,9.61,2.68,1278.91,3.74,27.33,36.02,43.71,0.64,0,9.14,0,2.12,4.68,0,0,0,0,6.45,23.56,6.44,14.71,31.25,0
108-118,0,0,3.74,0,0,121.17,14.69,0,23.12,12.67,0,0,0,0.61,74.49,0,2.68,5.64,1050.69,0,16.4,43.21,60.89,0.46,1.69,8.38,0,0,0,0,0,0,0,0,1.01,14.88,9.25,27.15,0
120,0,0,2.5,0,0,103.27,2.17,1.11,15.7,64.3,0,0,0,0,50.31,0,0,0,1342.64,1.56,62.37,32.64,30.62,3.89,0,3.15,19.84,0,0,0,0,0,0,21.57,2.31,0,22.92,107.17,0
