stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.52,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,9.21,13.62,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,74.26,0,0,0,24.9,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,0.91,0,0.85,0,0,0,0,0,1.11,0,0,0,0,0.95,0,0,0,0,2.1,0,0,1.76,238.98,0,8.21,0,0,0,0,0,0,0,297.7,0,0,0,0,0
 24-34,0,9.81,0,4.53,0,0,20.57,0,0,0,5.17,0,0,0,0,0,0,0,0,0,13.54,0,0,1.82,1691.59,0,56.23,1.98,0,0,8.36,0,0,0,693.95,0,0,1.5,0,1.49
 36-46,0,0.98,0,0.84,0,0,127.7,0,0,0,16.75,0,0,2.49,0,0,0,0,0,0,11.62,0,0,3.93,3728.5,6.44,40.45,0.72,0,0,13.31,0.81,0,0,1131.66,0,0,1.09,0,2.52
 48-58,0,1.11,0,15.82,0.69,0,732.99,0,4.03,2.53,72.56,0,0.73,0,13.96,0,2.49,3.96,3.87,5.41,50.22,0,0.94,4.8,5147.95,0.39,31.01,7.9,0,0,14.85,0,0,0,1205.17,0,0,4.77,0,6.71
 60-70,0,0.89,0,8.54,4.74,0,2227.58,1.6,0.74,0,54.37,1.38,0,0,3.09,0,0,0,0,0,41.97,0,2.81,3.44,5636.6,0,39.95,0,0,0,21.94,0,0,1.71,912.76,0,0.71,8.77,0,5.71
 72-82,0,7.02,0,19.89,13.33,0,3385,2.53,5.46,2.24,105.98,7.91,0,4.77,0,0.66,2.34,0.71,1.44,5.99,55.54,0,0.51,5.98,5449.69,0,50.17,7.39,0,1.4,18.78,0,1.37,4.52,544.72,0.8,0.78,5.37,5.17,16.78
 84-94,0,18.44,0,63.11,19.74,0,1988.67,0.93,0,8.44,96.55,1.59,0,1.02,0.77,0,10.24,0,5.87,0,41.67,0,1.92,2.18,3925.83,3.97,29.35,3.96,0,0,13.85,0,3.12,0.68,283.08,2.6,0.64,0.57,2.46,13.05
 96-106,0,8.48,0,27.35,41.79,0.59,2438.3,0,20.1,0,106.04,7.08,0,0.73,0,1.23,0,0,6.68,6.77,76.29,0,2.76,4.78,3242.23,0,39.41,2.7,0,4.62,32.95,0,0.68,0,152.9,3.63,1.03,2.1,1.58,11.78
108-118,0,9.01,1.47,42.68,9.77,6.09,2163.09,0,1.41,1.23,124.33,4.26,0,0,1.27,0.89,9.35,0,1.09,0,61.94,4.19,1.96,1.84,4192.03,0,26.88,8.2,0,4.01,1.65,0,0,0,139.52,5.24,0,7.09,6.94,0.41
120,0,31.17,0,23.06,1.23,5.3,1708.65,1.01,0,1.88,102.76,1.33,0,0,16.61,0,8.95,1.12,2.69,0,35.35,0,2.4,4.77,5948.41,0,41.04,20.6,0,7.06,2.54,0,2.39,0,198.76,1.16,0,0,2.31,0
