stage,epidermis,eye,gut,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,xanthophores
 14-21,0,0,0,0,1.81,1.01,7.89,44.49,1.05,0,0,0
 60-70,1.42,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.49,0,0,0,0,0,0,3.11,0
 84-94,0,5.47,0,0,1.42,0,0,0,0,0.56,2.31,0
 96-106,1.62,5.42,1.71,0,4.81,7.58,0,0.69,0,1.01,1.15,10.56
108-118,0,0,0,2.85,0,1.2,0,1.32,0,12.9,0,0
120,0,0,0,0,0,5.64,0,0,0,0,0,0
