stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.05,38.84,3.52,15.01,0,0,0,5.33,2.13,0,7.88,0,0.95,0,0,2.09,0,22.23,0,0,13.46,362.66,11,0,4.08,7.08,0,3.64,40.14,0,32.55,42.92,74.36,0,0,0.91,0,1.24
 24-34,0,0,5.11,1.64,36.79,66.7,0.85,0.62,2.65,0,0,6.68,0,0,0,0,0,0.95,25.44,0,0,29.99,336.78,1.8,0,0,0,0,4.5,0,0.64,32.09,46.4,66.36,0,0,12.74,0,0
 36-46,0,0,1.94,0,35.76,255.11,5.33,3.64,10.84,0,0,1.94,2.39,0,0,0,0,0,35.92,0,0.68,28.88,311.28,14.96,2.53,0.8,0,0,16.08,0,0.58,99.86,7.7,64.37,0,0,3.57,0,3.92
 48-58,0,0.51,16.57,2.03,92.42,224.18,3.4,0,42.26,0.46,0,2.42,0,0,0.51,0.41,0,0,28.37,0,1.81,43.69,220.36,15.79,1.68,2.61,0,0,5.15,0,0,50.41,0,43.43,0,0,6.88,0,0
 60-70,0,0,14.83,4.64,85.57,173.79,0,6.93,11.34,1.41,0,0.59,7.59,0,0,0,0,0.59,44.62,2.47,15.39,12.72,126.84,0,1.23,6.76,0,0,27.6,0,2.54,55.98,0,28.29,0,0,0,0,0.97
 72-82,0,0,5.31,0.81,67.42,68.81,0.65,1.19,16.19,0.66,0,1.21,5.71,0,0,0,1.61,4.11,39.21,0,4.79,6.06,93.71,0,1.19,1.92,0,0,5.48,0,0,12.11,0,11.46,0,0.5,1.99,1.26,3.14
 84-94,1.16,0,0.56,2.94,51.69,59.69,2.8,0,15.28,6.23,0.64,0,0,0.93,0,1.89,0,0,31.7,0,6.36,18.69,87.32,0,0,1.81,0,0,11.24,0,1.59,13.03,0,12.21,0,4.61,3.93,1.06,2.54
 96-106,1.14,0,12.98,2.8,16.27,76.17,0.89,0,25.13,3.9,0,2.23,1.89,0.82,1.05,0.77,0,0,54.11,0,2.22,6.98,33.21,0.75,0.72,0.62,0,1.17,17.01,0,0,29.3,0,1.71,0.79,2.71,2.35,4.62,2.73
108-118,0,0,6.95,0,46.28,37.18,1.33,1.17,25.72,2.45,0,0.52,0.42,2.13,1.37,1.96,0,0,54.11,0,4.39,9.88,61.75,0,3.54,0,0,0,12.96,0,1.74,26.28,0,3.78,3.65,1.06,3.34,0,6.02
120,0,0,3.01,18.16,29.36,38.47,1.8,0,20.7,0,0,0,5.06,0,2.22,0,1.5,0,72.78,0,0,8.34,75.95,7.23,0,4.12,0,0,3.78,0,0,5.65,0,12.25,6.78,0,0,10.94,0
