stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.98,0,0,1.85,0,0,0,0.63,0,0,0,0
 36-46,0,0,0,0.63,0,0,0,0,0,1.02,0,0,6.43,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.03,0,0,0,0,0,1.4,0.55,0,8.24,0,0,0,0.71,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,39.62,20.64,4.05,1.3,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.13,0,0,0,0,0,55.35,32.57,1.97,9.62,0,0.88,0,0,0,0,0.96,10.28
 84-94,0,0.69,0,6.94,0,4.58,0,1.84,0,86.36,81.98,0.57,0,0,0.79,0,0,0,0.82,2.52,0
 96-106,0,2.6,4.68,8.82,0,0,3.97,0,1.9,121.31,77.24,2.98,21.88,0,28.91,0,0,13.88,0,10.8,0
108-118,0,0,0,0.58,2.07,0,3.94,0,0,192.69,100.12,0.76,1.46,1.1,22.2,1.22,0,0,0,7.18,0
120,0,0,0,18.98,0,0,0,0,0,299.32,246.29,3.16,68.58,0,59.23,1.01,0,3.24,0,15.74,0
