stage,axial,blastomeres,endoderm,eye,glial,gut,hatching.gland,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,18.89,179.19,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0
  5-6,0,8,0,0,0,0,11.32,0,0,0,0,0,0,0,6.16,0,0,0
  7-9,0,0,3.91,0,0,0,0,0,0,8.95,5.53,0,0,6.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.9,8.54,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0.98,0
 36-46,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,3.98,4.53
 48-58,0,0,0,0.59,0.99,0,0,0,0,17.7,0,0.39,0,0,0,0,1.7,0
 60-70,0,0,0,0.82,0,0,0,0,2.11,14.18,0,0,0,0,0,0,0.84,0
 72-82,0,0,0,0,0,0,0,0,0,5.61,0,0.71,0,0,0,0,3.21,0
 84-94,0,0,0,0,0.8,0,0,2.45,0,0.64,0,0,0.66,0,0,0,1.44,0
 96-106,0,0,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0.69,0,0
108-118,0,0,0,0,1.55,0,0,0,0,9.95,0,1.41,0,0,0,0,0,0
