stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.8,44.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,279.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,0,0,0,0
  7-9,4.02,0,12.04,0,0,18.84,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,104.15,15.39,0,0,64.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,33.34,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,98.68,0,0,0,58.44,0,6.88,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0.96,0,0,0,0,0,0,0,1.03,0,0,1.03,7.24,0,0,0,0,5.94,0,0.83,0,0,0,0,0
 24-34,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,10.16,0,0,0.77,0,23.71,0,0,1.11,0,2.43,0,0
 36-46,0,0,0,0,0,2.05,5.44,0,0,0,0,0,0,0,0,0,0.59,0,0,0,35.18,0,0,0.8,0,32.09,0,0,3.99,0,0,0,0
 48-58,0,0,0,0,0,3.14,18.97,2.96,0,0,0,0,5.32,0,0,0,2.96,2.92,0,7.97,31,0,0.56,1.78,0,3.78,0,0,6.32,0,0.47,0,1.31
 60-70,0,0,0,0.63,0,21.91,81.37,1.02,0,0,0,0,0,0,0,0,8.17,0,0.82,43.5,20.41,0,0,0,0,19.4,0,0,0,0,0,0,5.55
 72-82,0,0,0,3.22,5.13,8.81,56.24,0,0,0,1.12,0,0,0,0,0,4.9,0,0,4.83,18.73,0,0,0,0,0.61,0,0,1.89,0,2.57,0,0
 84-94,0,0,0,1.86,0.58,20.33,73.65,4.86,0,0,0,0.7,0,0.7,0,0,3.43,0,0,8.72,23.89,0,0,2.58,0,1.59,0,0,5.28,0,0,0,0
 96-106,0,0,0,2.7,0,32.52,99.44,0.59,0.66,0,0,0.57,0,0,0,0,6.26,0,0,18.69,50.41,0,3.6,1.45,21.32,0.76,0,0,0,0,0,1.26,0
108-118,0,0,0,1.24,0,10.06,79.18,1.91,0.74,0,0,1.51,0,0,0.7,0.59,5.6,0,0,16.87,25.16,0,0,6.16,0,2.41,0,0,0,0.5,2.09,0,0
120,0,0,0,0,0,3.63,122.43,2.03,0,0,0,0,0,0,3.02,0,3.87,0,0,0,44.87,0,0,10.45,0,0,0,0,0,0,0,0,0
