stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.17,494.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.81,0,0,0,0,0,0,0,0,0,0
  5-6,16.13,392.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,30.26,0,0,0,0,0,0,0,0,0,0
  7-9,6.89,14.03,0,29.26,0,0,0,23.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.92,4.22,0,0,112.12,0,8.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.84,0,28.28,0,5.31,0,39.55,0,0,0,0,0,3.03,0,0,0,0,0,7.47,0,0,0,0,0,658.64,4.45,0,0,218.71,0,0,0,17.9,0,0,4.47,0,0,0,0,0
 14-21,0,0,0,3.2,51.09,21.09,0,38.96,0,0,0,8.43,2.71,3.64,1.22,0,2.38,0,0,0,0,41.85,0,0,27.86,495.01,7.21,1.88,0,4.63,0,19.86,43.65,4.11,1.65,34.86,115.51,0,0,4.47,0,1.48
 24-34,0,0,0,2.25,21.62,6.33,0,106.71,0,3.97,1.24,7.8,1.7,0,1.06,2.86,3,1.56,0,3.58,0.69,72.26,0,0,16.66,752.51,3.71,2.85,19.07,0,0,23.79,0,2.13,0,2.69,148.46,0,0,16.37,0,3.85
 36-46,0,0,0,0,11.94,0.71,0,168.99,0,0,0,14.98,0.57,0,0,3.31,0.61,0,0.77,2.66,0,71.65,0,0.74,17.7,509.45,5.17,3.15,0.61,0,0,13.14,0,0,0,0,100.2,0,0,18.18,0,10.13
 48-58,0,0,0,0,17.11,0,0,224.8,0,8.46,0.99,35.21,5.86,0,2.76,2.26,5.21,3,0,3.93,1.31,51.04,0,1.19,8.28,377.35,0,1.14,1.44,0,0,7.82,0,0.92,0,0,81.45,0,0,22.94,0,10.39
 60-70,0.81,0,0,0,18.6,0,0,238.51,0,12.84,1.53,33.27,2.74,0,1.7,3.05,0,0.72,0,0,3.3,58.83,1.14,8.08,2.94,320.62,8.66,0,7.68,0,0,5.42,0,2.54,0,0,36.24,0.84,0,18.81,0.73,0
 72-82,0,0,0,0,10.09,11.23,0,132.15,0.51,2.88,3.32,22.44,7.94,0,0,1.15,1.59,0.93,2.74,0.78,0,56.48,0.66,6.18,6.43,217.42,0,5.18,1.09,0,1.12,11.84,0,0,0,0,26.23,1.42,0.92,13.98,0,11.66
 84-94,0,0,0,0,10.88,5.26,0,66.6,0,0.66,2.39,23.89,4.69,0,1.27,9.51,2.36,0,0,0,0.68,30.69,0,2.39,4.9,224.26,2.37,0,1.2,0,0,31.5,0,0.66,0,0,9.33,1.59,0,7.96,0,0
 96-106,0,0,1.08,0,15.77,5.97,0,61.19,1.15,1,0,48.07,6.21,0,1.49,4.1,4.69,4.61,0.77,0.93,0,64,1.75,3.16,5.12,158.85,0,9.44,4.22,0,0,18.45,0,2.03,0,0,6.23,0,0,24.16,2.85,0.8
108-118,0,0,0.75,0,25.51,9.64,1,89.88,0,1.97,2.23,29.15,6.02,0,1.62,3.81,3.57,4.65,1.05,3.62,0,46.75,1.29,0.46,13.6,195.92,4.3,2.45,3.78,0,0,25.44,0,0.76,0.49,0,4.55,1.76,0,5.15,0,9.35
120,0,0,0,1.28,30.72,3.02,4.48,125.87,1.1,2.47,2.6,58.61,1.26,0,0,24.14,4.61,3.24,0,3.98,0,55.79,17.7,6.13,6.41,392.46,0,5.91,0,0,0,11.4,0,1.21,0,0,1.7,0,0,26.04,0,0
