stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,48.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.84,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,18.38,0,0,0,22.48,0,0,0,0,0,0,0,0,0,0
 10-12,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.19,10.09,0,0,7.81,0,0,12.99,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,5.37,6.36,0,0,1.27,0,0,1.43,0,12.46,16.39,4.23,0,0,0,0
 24-34,0,0,0,0,14.05,12.45,0,0,0,1.01,0,11.02,0,0,0,1.1,0,4.3,0,16.45,53.01,1.04,1.31,0,0,0,0,0.79,19.76,19.26,10.79,0,1.19,0,11.68
 36-46,0,0,0,0,12.2,29.41,0,0,1.51,0,0,5.79,0,0,0,0,0,0.64,0,6.72,37.42,0,2.63,0,0,0,7.33,0,17.43,0.8,5.15,0,0,0,0
 48-58,0,6.24,0,0,9.11,48.43,0.52,0,5.53,0,0.75,1.64,0,0,0,0,1.06,9.67,0,3.73,51.51,6.9,0,0.42,0,0,10.78,0.62,26.18,0,11.59,0,0,0,0
 60-70,0,8.98,0.58,0,5.22,33.7,0,0,1.12,0,0,10.66,0,0,0,0,0,5,2.79,6.48,59.92,2.8,0,0,0.81,0,2.87,0,26.42,0,10.13,0,0,0,0
 72-82,0,2.83,4.28,0,19.64,22.1,0,5.69,4.59,0,0,1.16,0.49,0,0,1.37,0,8.71,0.96,22.84,45.73,0.51,0,0,0,0,1.55,0.54,14.22,0,4.29,0,0,0.54,0
 84-94,0,0,0.66,0,17.23,17.67,0.66,1.23,0,0,0,0.8,0,3.04,0,1.84,0,4.86,0,18.74,21.48,1.12,1.05,2.48,0,1.68,0,1.27,9.64,0,0,0,0,0,0
 96-106,0,4.26,5.73,0,14.21,43.89,0,1.65,11.15,0,0,0.66,0.71,0,2.35,0,0,27.23,1.34,13.08,39.94,0,0,0,2.41,0,9.69,1.54,17.67,0,0,0.87,0,0.87,10.89
108-118,0,0,3.67,1.48,25.79,45.37,0,0.94,8.3,0,0,0.78,0,0,0,2.84,0,8.05,0,11.27,45.62,0,0,0,0,0,4.37,1.48,14.09,0,0,0,4.97,0,0
120,0,6.86,0,0,39.4,37.55,0,0,21.05,0,0,1.15,0,0,0,0,0,30.42,0,4.28,49.02,0,0,0,0,0,1.07,0,9.27,0,0,0,14.39,0,0
