stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,1.88,0,0,0.92,0,0,0,0,0,0,0,0,0,1.97,0,0,18.67,0,0,0,0,0,0.82,0,1.25,4.86,0,0,0
 24-34,0,0,0,0.6,0,0.62,0,0,0,0,0.63,0,0,3.82,0,0,57.32,0,3.68,0.64,0,13.78,0,0,0,27.89,0,0,1.46
 36-46,0.61,0,0,5.85,0,0,4.52,0,0,0,0,0,0,1.55,0,2.72,57.82,0,0,0,0,0,0,0.56,0,14.81,0,0,3.43
 48-58,0,0,0,8.52,0,0,4.64,0,0,0,0,0,0,5.58,0.49,0.66,32.25,0,1.27,0.82,0,0,0,0,0,2.43,0,0,0
 60-70,0,0,0,22.53,0,0,3.6,0,0,0,0.67,0,0,7.28,0,0,20.37,1.76,1.12,0,0,0,0,0,0,1.16,0,0,0.73
 72-82,0,0,0,20.86,0,0,5.58,0,0,0,0,0.92,0,15.36,0,0,36.41,0,0,2.69,0,0,0,0,0,4.71,0.5,0,3.48
 84-94,2.17,0,0,21.8,0,0,10.11,0,0,0,0,0.61,0,13,0,0,22.94,0,0,2.07,5.06,0.68,0,0,0,0,0,0,0.98
 96-106,0,1.1,0,9.61,0,0,6.38,0,2.64,0,0,0,0,8.01,0,1.04,18.08,0,0,1.47,0,0,0,0,0,0,0,0,0.76
108-118,2.94,0,2.34,28.2,0.92,0,9.54,0,2.87,2.57,0.53,0,0,3.8,0,2.29,28.95,0,0.46,0.81,0,2.71,0,0,0,0,0.43,1.19,0
120,0,0,0,16.88,0,0,7.28,1.15,0,0,0,2.05,1.6,13.66,0,0,2.13,0,0,11.81,0,1.43,0,0,0,0,0,0,0
