stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,190.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.17,285.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.72,0,0,0,0,0,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.45,0,0,0,16.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,20.93,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,198.83,5.37,0,0,4.43,0,0,0,0,4.94,0,0,0,0,0,0,0
 14-21,0,0,0,1.74,55.23,0,0,8.09,0,0,0,0,1.18,2.37,0,0,0,0.93,1.19,1.33,5.75,0,0,3.65,71.69,0,0,0,15.2,0,0,0,3.47,0,0,4,17.61,0,0,0,0
 24-34,0,0,0,3.06,54.85,0.95,0,24.68,0,4.83,1.44,9.05,0.68,2.88,0,0.65,0,3.01,0,10.79,29.49,0,0.91,13.09,237.25,0,0.77,3.84,0,1.61,1.71,0,0.93,2.76,0,1.81,28.02,0,36.05,0,10.73
 36-46,0,0,0,0,38.64,0,0,18.45,0,0.56,0,31.74,0.56,0,0,0,10.79,7.42,0,20.14,39.71,4.4,0,5.07,198.82,0,1.78,5.24,0,0,14.37,0.81,0,1.34,0,0,26.15,0,27.1,0,37.69
 48-58,0,0,0,0,38.11,0,0,70.7,0,8.04,2.9,46.96,0,2.2,0,0,39.57,3.1,0,11.52,44.7,0,0,7.92,217.7,4.34,0,7.5,0,0.56,2.13,0,0,9.58,0,0,35.79,0.83,21.23,0,46.95
 60-70,0,0,0,0,35.06,0,0,87.04,0,12.35,2.78,162.09,0,0,1.42,5.75,58.22,7.73,4.21,24.26,133.77,0,5.59,2.86,234.2,0,5.27,4.27,0,18.74,1.24,0,0,7.39,0,0,13.02,1.46,16.36,3.36,64.48
 72-82,0,0,0.79,0,24.94,0,0,109.9,0,0.62,14.14,228.01,0,2.79,1.32,1.08,28.91,11.33,4.28,8.55,221.98,0,13.95,11.17,312.4,0,0.7,7.25,0,2.85,7.85,0,0,0,0,0,35.5,3.93,50.82,5.88,82.3
 84-94,0,0,3.73,0,32.32,6.73,0,173.71,0,3.09,10.41,161.59,0,13.65,2.17,0,70.1,12.88,0,75.99,151.53,0.62,10.76,4.36,204.4,0,4.7,10.02,0,9.49,27.72,1.4,0,2.15,0.79,0,21.8,5.17,32.22,6.14,51.8
 96-106,0,0,0,0,23.98,1.54,0,116.56,0,0.91,4.56,253,0,3.82,3.11,0.57,78.63,4.51,17.76,12.72,209.39,0,12.62,2.81,230.29,0,6.39,4.4,0,5.34,12.79,0,0,1.78,0,0,7.8,4.12,29.83,6.11,44.92
108-118,0,0,0,0.44,30.62,0,0,174.38,0.54,6.09,9.33,249.87,0,6.9,1.29,0.72,128.55,5.3,2.12,27.99,222.45,0,20.9,3.31,219.45,1.42,2.08,16.2,0,2.73,16.76,0,0,1.91,0,0,4.59,5.74,34.61,3.07,78.19
120,0,0,0,0,59.57,2.89,14.01,148.78,0,7.69,18.38,615.87,0,7.28,4.58,1.63,78.83,31.57,0,6.2,408.63,0,18.64,3.36,736.22,0,16.19,25.35,0,20.18,5.13,0,0,2.95,0,0,50.89,0,162.91,26.06,49.63
