stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.9,4.35,0,18.53,0,0,23.27,0,0,0,0,0,0,0,0,0,0,0,0,0,50.67,0,0,0,59.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.42,0,13.83,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,130.22,19.28,0,0,51.18,0,0,10.9,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,16.8,0,2.61,0,0,0.83,6.3,1.92,0,0,0,0,0,3.59,0,1.2,9.38,0,0,4.45,0,0,0,0,0,3.08,3.73,0,0,0,0
 24-34,0,0,0.97,0,4.57,0,0.65,0,0,0.81,0.71,0,0,0,0,2.65,0,8.88,0,5.3,56.55,0,0.77,0,0,0,1.33,0,0,0,18.36,0,0,0,0
 36-46,0,0,0,0,8.6,0.57,3.49,0,0,0,0,0,0,0,0,0,0,4.05,0,2.02,52.53,0,0,0,0,0,2.67,1.31,0,0,25.97,0,1.1,0,0
 48-58,0,0,0,0,3.67,0,6.28,7.08,0.49,7.35,0,0,0,0.83,0,0.63,1.1,16,0,1.02,72.31,0,1.18,0,0,0,1.38,0,0,0,12.12,0,1.22,0,0
 60-70,0,0,0,0,0.57,0,8.03,0.63,0,2.99,0,0,0,0,0,0,0,19.55,0,1.52,25.51,0,0,8.92,0,0,0.97,0,0,0,4.62,0,12.4,0,2.19
 72-82,0,0,0,0,1.59,0,16.07,0,1.16,4.62,0.64,0,0,1.15,0.8,0,0,22.62,0,6.69,55.46,0,0,1.06,0,0,0,0.76,0,0,12.49,0,0,1.14,0
 84-94,0,0,0,0,0,0,2.3,0,3.82,5.54,0,0,0,0,0,0,0,17.07,0,0,31.93,0,2.46,0,0,0.77,0.74,0,0,0,3.74,0,2.81,0,0
 96-106,0,0,1.05,0,0,0,15.89,0,23.67,5.76,0,0.97,0,0,1.72,0,0,10.17,4.03,0,37.61,0,0,1.11,0,0.79,3.4,0,0,0,2.31,0,0.82,1.98,0
108-118,0,0,0,0,3.94,0,12.58,0,0,5,1.74,0,1.08,0.73,0,0,1.24,9.53,0,0.52,26.74,4.95,0,0.53,0,0,0.51,0,1.17,0,0,1.93,0,0,0
120,0,0,0,0,3.07,0,3.22,0,0,3.07,0,0,0,0,1.12,0,0,27.2,0,2.55,41.19,3.27,0,0,0,0,6.64,0,0,0,18.55,0,12.15,8.74,0
