stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.31,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,24.49,4.79,0,0,3.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.72,0,0,0,7.36,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,1.25,0,0,0,0,0,2.11,0,0,0,4.72,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,1.88,23.67,0,0,0,0,0
 24-34,0,0,2.58,0,0,6.76,0,0.78,0,0,0,0,0,0,0,0,3.09,0,0,0.6,256.85,0,4.57,0,0,0,0,0,53.02,0,0,0,0,0
 36-46,0,0,0,0,0,2.9,0,2.87,2.17,0,0,0,0,0,0,0,0,0,0,0,488.67,0,10.87,0,0,3.48,1.14,0,79.03,0,0,0,0,0
 48-58,0,0,3.91,0,0,31.05,0,0,6.73,0,0,0,0,0,0,0,1.89,0.63,0,1.19,771.58,0,3.28,0,0,0,0,0,91.73,0,0,3.51,0,7.23
 60-70,0,0,9.45,0,0,82.83,0,0,6.87,0,0,0,0,0,0,1.42,4.73,0,0.65,0,1194.89,7.37,4.22,0,0,0.93,0,0,82.38,0,0,0,0,0
 72-82,0,0,13.96,3,0,186.36,0,2.88,12.86,0,0,1.26,0,0,0,0,18.62,0,6.94,2.88,1687.02,0,5.89,5.72,0,0,0,0,112.38,0,0,0,0,8.31
 84-94,0,0,4.43,0.88,0,156.08,0.69,0,10.82,0,0,0,0,0,0,0,10.92,0,0,2.1,1116.3,0,0,0,0,1.76,0,0,91.37,0.9,0,0,0.98,13.88
 96-106,0,0.99,1.44,16.34,0,102.93,0,0,13.29,0.56,0,0,0,0,0,0,24.56,0,1.02,0,1050.95,0,3.58,0.59,0,11.83,0,0,48.89,0,2.83,0,1.71,0
108-118,0,0,6.37,0,0,137.72,0,0.5,8.5,2.55,0,3.47,0,0,3.13,0,14.73,0,0,0.62,1707.46,0.41,7.62,0,0,3.86,0,0,37.59,1.68,0,1.65,0,8.38
120,0,0,22.56,0,13,112.27,0,0,0,0,0,0,0,2.83,0,0,6.27,0,0,0,1560.26,0,0,0,0,1.79,0,0,56.96,0,0,1.1,0,0
