stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,99.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.54,0,0,0,0,0,0,3.86,0,0,0,0,0,0,10.94,7.34,0,0,0,0,0,0,0,0,0
 10-12,0,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.66,0,0,0,0,0,0,0,0.81,0,0,0,0.99,17.71,0,1.51,0,0,1.08,0.81,8.3,1.09,0,0
 24-34,0,0,0,0,1.72,0,0,0,0,0,0,0,3.46,0,1.02,46.54,0,0,0,1.22,0,0,19.97,0.76,0,0
 36-46,0,0,0,0,4.28,0,2.56,0,0,0,0,0,10.12,0,0,68.62,0,0.56,0,0,0,0,15.41,0,0,0
 48-58,0,0,0,0,10.97,0,1.69,0,0,0,0,0,0.43,0,0,20.83,0,0.78,0,0,0,0,6.29,1.56,0,0
 60-70,0,0,0.58,0,4.11,0,1.47,0,0,1.03,0,8.1,8.28,0,0,19.89,0,0,0,3.23,0,0,4.5,0,0,0
 72-82,0,0,2.2,0,5.37,0,3.57,0.64,0,0,0,0,12.72,0,0.54,14.9,0,0,0,0,0,0,1.57,0,0,0
 84-94,0,0,0,0,7.07,8.29,0,0,0,0.57,0,0,6.64,0,0,19.02,0.63,0,2.65,1.49,0,0,0,0,0,0
 96-106,0,0,0.87,2.34,1.25,0,0,0,0,0,0,0,4.08,0,1.21,16.04,0,0.67,0,1.28,0,0,0,6.42,0.68,0
108-118,0,0,4.34,0,8.06,0,2.15,0,0,0,0,1.65,0,1.33,1.86,6.48,0.49,0,2.7,0,0,0,0,1.99,0,0.6
120,0,0,1.79,2.17,0,0,0,0,0,0,0,0,6.99,0,0,27.87,0,0,0,0,0,0,0,0,0,0
