stage,axial,blastomeres,epidermis,eye,glial,gut,hatching.gland,mesenchyme,neural,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,23.04,500.12,0,0,0,0,0,0,0,0,0,0,11.29,0,0
  5-6,24.5,113.7,0,0,0,0,0,0,0,0,9.67,0,0,0,0
  7-9,0,0,0,0,0,0,12.55,0,4.93,0,12.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,16.99,0,9.16,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.81,20.54,0,0,0,0,6.11,0
 24-34,0,0,0,1.13,0,0,0,0,84.22,0,0,0,0,6.65,0
 36-46,0,0,0,0,1.02,0,0,0.69,102.53,0,0,0,0,15.36,0
 48-58,0,0,0,0,0,0,0,0.6,41.91,0,0,0,0,4.45,0
 60-70,0,0,0,0,1.12,0,0,0.58,64.73,1.84,0,0,0,9.17,0
 72-82,0,0,0,3.33,0.58,4.74,0,0.99,51.87,0,0,0,0,2.81,0
 84-94,0,0,0.95,0,5.2,0,0,4.02,42.02,0,0,0,0,0.63,1.21
 96-106,0,0,0,0,0.67,0,0,2.63,25.85,0,0,0,0,0,0
108-118,0,0,0,0,1.77,0,0,1.06,20.56,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.81,0,0,9.21,0,0,0
