stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,41.9,1498.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.53,0,0,0,0,0,0,0,0
  5-6,68.44,1524.87,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,11.74,41.28,0,0,0,0,0,0,0,0
  7-9,8.65,49.34,72.42,0,0,0,55.95,0,0,43.6,0,0,0,0,0,0,0,0,0,0,0,1024.13,40.87,0,0,363.31,5.76,10.31,0,0,0,0,0,0,0
 10-12,0,34.89,54.84,0,6.18,0,72.34,0,0,17.97,0,0,0,0,0,0,0,0,0,0,0,831.67,82.34,0,0,378.37,0,0,9.31,53.53,0,0,4.47,0,0
 14-21,0,0,10.61,64.23,12.16,0,13.9,3.39,2.32,2.29,1.5,0,1.72,0,0,0,0,29.58,0,0,18.16,261.71,5.89,1.57,3.71,7.21,23.98,0.9,38.82,2.19,0.81,30.85,67.21,0,0
 24-34,0,0,0,10.96,3.27,0,57.29,6.56,0,3.09,0,0,2.26,0,0,0,2.2,20.55,0,0,5.95,488.03,1.42,1.04,0.7,0,14,0,1.12,0,0.95,1.98,69.18,5.79,2.64
 36-46,0,0,0,1.94,0,0,112.62,2.24,0,0,0,0,0,0,0,0,3.56,25.19,0,0,7.97,360.96,0,0.6,2.01,0,0.62,0,0,0,0,0,48.25,4.06,0
 48-58,0,0,0,7.84,0,0,128.39,7.75,0,0,1.13,0.57,0,0,1.27,0,0,23.55,1.17,1.87,4.33,126.84,0,0,0.43,0,0.42,0,0,0,0,0,14.6,0.43,3.54
 60-70,0,0,0,10.02,0,0,117.85,14.2,0,0,0,0,0,0,4.41,2.11,0,10.5,0,0.59,2.45,100.14,0,0.6,0,0,0,0,0,0,0,0,3.18,1.59,1.36
 72-82,0,0,0,0.58,1.45,0,29.02,6.93,0,0,0,0,2.21,4.57,0,0,0,8.81,0,1.08,1.67,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,9.37,0.84,0,41.39,11.1,4.08,0,0,0,0,0,0,0,0,16.64,0,1.35,3.05,40.64,1.16,0,0,0,0,0,0,0,0,0,1,3.47,0
 96-106,0,0,0,2.8,0,0.8,16.08,3.02,0,0,0,5.84,0,0,0,0,0,10.11,0,0,3.46,19.78,0,0,0,0,0,0,0,0,0,0,0,2.02,0
108-118,0,0,0,0.63,0.99,0,16.43,2.42,1.76,0,0,1.17,0,0.42,0.78,0,0,8.78,0,1.62,1.07,54.37,0,0,1.6,0,0,0,0,0,0,0,0,0.52,0
120,0,0,0,0,0,0,51.52,11.44,0,0,0,5.3,0,0,0,0,0,9.01,0,0,4.28,80.07,0,0,3.28,0,0,0,0,0,0,0,0,0,0
