stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,periderm,pronephros,spinal.cord,vasculature
 14-21,0,0,0,0,0,98.95,0,0,11.16,0,0,0,0,0
 24-34,0.74,2.5,0,0,0,389.7,0,0,45.64,10.72,2.83,0,0,1.91
 36-46,7.6,0.73,0,0,0,197.3,0,0.69,30.03,0.87,1.92,0.72,0,0
 48-58,0.47,1.75,0.8,0,0,81.01,8.16,2.81,6.27,3.51,4.52,0,2.65,0
 60-70,10.23,0,1.14,0,0,22.34,0,0,0.76,0,0,0,0,0
 72-82,0,0,0,1.24,0.99,50.32,0,0,10.89,4.4,0,0,0,0
 84-94,8.54,0,0,0,0,18.9,0,0,8.8,3.41,0.81,0,0,0
 96-106,16.69,7.67,0,0,0,8.34,0,0,16.38,0,0,0,0,0
108-118,4.6,0,0,0,0,23.22,0,0,2.62,0,0,0,0,0
120,10.61,0,0,5.13,0,37.41,0,0,1.37,0,5.76,0,0,0
