stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.09,138.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,40.85,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,1.71,0.88,2.09,2.86,1.48,2.09,0,0,0.89,0
 24-34,0,0,0,0,0,0.72,0,0,0,1.46,0,5.72,0,0,0.66,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.26,0.8,1.64,0,1.07,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0.96,0,2.18,0,0,0
 60-70,0,0,0,0,0,6.9,0,0,0,0,0,14.56,2.09,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.74,0.64,0,4.44,0,0,2.7,0,0,0,0.75,0,0
 84-94,0,0,0,0,2.06,0,0,0.67,0,4.53,0,3.7,3.72,4.22,0,0,0,0,0
 96-106,0,0,0.89,0,0.77,5.46,0,2.34,0,3.27,0,7.74,0,0.89,0,0,0,0,0
108-118,0,0,0,0,0,0,0.79,4.73,0.87,5.3,0,7.1,0.59,0.54,0,0,0,0,1.95
120,0,0,0,0,0,2.43,0,0,1.79,15.06,0,0,1.12,1.04,0,8.42,0,0,0
