stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,56.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.74,0,0,0,0,0,0,0,0,0
  7-9,3.63,0,0,0,0,3.23,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,45.57,0,0,0,14.3,11.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.67,0,0,0,15.01,0,0,4.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,6.44,0,0,0,0,19.26,0.94,0,0,4.88,0,0,0,0,0
 24-34,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,1.13,0,0,1,15.57,0,1.23,0,0,19.47,0,0,0.9,2.36,0,0,0,0,0
 36-46,0,0,0,0,0,2.15,2.03,1.04,0,0,0,0,0,0,0,0,0,0,0,0,8.68,0,1.27,0,0,26.15,0,0,0,2.07,0,0,1.33,0,0
 48-58,0,0,6.35,0.69,0,2.59,0,0,0,0,0,0,0,0,0,0,5.34,0,0,0.67,19.25,6.6,0,0,0,50.81,0,0.74,0,2.29,0,0,0.96,0,1.82
 60-70,0,0,0,0,0,29.86,0,4.35,0,0.84,0,0,2.28,2.01,0,0,2.29,0,0,0,34.38,0,1.02,0,0,72.98,0,0,0,4.42,0,0,0,0,0
 72-82,0,0,0,0,0,6.79,0,1.5,0,0,0,0,0,0,0.74,0,2.93,0,0,0,45.89,0,0,0,0,99.14,0,0,0,1.2,0,0,0.5,0,0
 84-94,0,0,10.6,0,0,6.14,0,2.41,0,1.71,0,3.58,2.78,5.9,0,6.7,10.48,2.36,0,0,4.81,0,0,0,0,364.65,0,0,0,1.05,0,0,0,0,0
 96-106,0,0,18.3,6.9,0,19.71,0,5.4,12.12,0.96,0,1.64,4.74,13.42,1.72,0,0,3.35,0.73,0.58,19.28,0,0,0,0,656.09,0,0,0,0,3.17,0.58,3.61,0,0
108-118,0,0,6.95,0,0.44,9.78,0,7.77,4.84,0,0,0.46,7.14,11.15,0,0,13.37,6.49,0,1.47,15.45,0,0,0,0,472.82,0,0,0,4.45,0,0,2.9,0.57,0
120,0,0,4.07,0,0,0,0,23.93,0,0,0,0,15.85,4.53,2.85,0,13.16,9.54,0,1.86,2.87,0,0,2.63,0,511.51,0,0,0,0,0,0,0,0,0
