stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,172.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.34,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,149.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.47,0,0,0,0,0,0,0,0,0,0
  7-9,4.26,0,0,4.05,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,29.19,3.96,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.05,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,46.86,11.74,0,0,19.46,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,39.72,7.01,0,1.89,0,0,0,2.2,5.43,3.91,0,2.72,0,0,0,2.56,6.77,2.84,0,2.03,33.88,2.54,0,2.66,0.94,0,33.83,12.76,0.97,0,9.04,7.8,0,0,6.38,0,0
 24-34,0,0,0,0.67,18.32,2.33,0,1.53,2.25,0,3.19,0,0.74,1.43,0,1.66,0,0,0,4.89,16.14,3.63,0,4.25,28.69,4.36,2.31,1.53,0,1.61,69.75,0,6.33,0,3.91,12.27,0,0,30.7,0,0
 36-46,0,0,0,0,22.9,0,0,0.68,0,0,1.58,2.26,0,2.71,11.77,0.61,0,1.63,0,12.09,18.45,1.24,0,7.33,59.37,3.84,1.48,1.36,0,0,83.37,0,0,0,0,6.41,0,0,16.89,0,0
 48-58,0,0,0,0,11.42,0.42,0,2.49,0.89,1.31,3.16,0.49,0,0,7.04,0.38,0,0.87,0,1.53,24.97,0.89,0.39,3.07,15.53,4.97,0,0.66,0,0,37.47,0,0,0,0,6.93,0,0.49,27.46,0,0.5
 60-70,0,0,0,0,8.8,2.32,0,9.96,3.02,4.2,7.63,0,0.97,1.76,0,0.75,0,3.69,0,12.24,43.59,3.37,0,0.58,14,0,1.19,0,0,1.08,72.47,0,0,1.46,0,0.88,0,0,8.75,0,6.1
 72-82,0,0,0.54,0,8.79,1.96,0,43.73,2.14,6.44,5.28,3.29,0,0.87,0,2.21,0,4.98,0,0,50.71,1.51,0,2.25,34.24,0,0,3.28,0,1.2,40.24,0,0.64,0,0,2.38,0.74,0,37.81,3.05,0
 84-94,0,0,0,0,23.82,2.28,0,15.04,3.53,2.09,5.65,6.28,0.66,2.84,11.1,1.63,5.05,1.82,1.49,1.13,41.41,1.23,0.96,0,23.93,0.62,1.17,1.89,0,0,80.93,0,0,0,0,0,4.82,0,16.05,0,0.66
 96-106,0,0,0.81,0,11.36,1.96,1.52,34.38,0.62,3.42,2.98,8.82,0,0,8.47,0,0,4.29,4.91,0.77,31.11,1.41,2.02,0,28.95,0.66,0,0.83,0,0,81.55,0,0,0,0,0,1.83,3.06,29.09,4.22,0.9
108-118,0,0,0,0,18.99,0.79,6.8,19.87,1.51,0,7.8,3.69,0,0,5.91,0.41,0,2.91,2.69,0,24.35,0,0,0.59,38.16,0,0.67,6.44,0,2.26,61.32,0,0.48,0,0,2.75,4.86,0.69,31.62,0,3.52
120,0,0,0,0,17.62,10.42,0,25.24,0,0,5.74,0,0,0,29.02,1.67,0,8.05,0,0,9.04,1.46,0,0,45.17,0,0,14.75,0,0,51.24,0,7.4,0,0,2.98,1.94,4.12,42.67,7.88,0
