stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.82,0.94,1.26,0,0,0,0,0,2.46,0,0,0,0,0,0,0,6.38,0,0,1.85,65.42,1.39,0,0,0,0,0,45.77,0,0,0,0,0
 24-34,0.75,4.01,1.61,2.43,0,0,0,0,0,0,0.76,0,3.98,0,0.66,0.71,0,7.55,0.69,0,0,431.18,0.73,3.16,0.74,0,0,0,163.82,0,0,1.45,0,0
 36-46,0,2.3,0,34.51,0,0,1.37,2.21,0,0,0,0,1.52,0,1.17,0,4.48,5.64,0,0,0.56,1577.4,0,1.88,0,0,0.71,0,334.87,0,0,0.56,0,0.65
 48-58,0,5.46,1.99,207.06,0,0.93,2.07,8.33,0,0,0.55,2.59,0,11.3,1.09,2.56,1.5,16.49,0.82,0,0.59,2610.49,0,2.71,0.41,5.19,2.67,0,394.05,0,0,9.16,0,2.84
 60-70,0,5.69,2.9,486.03,0,0.94,0,21.38,0,2,0,0.78,0,0,0,0,0,9.17,0,8.93,8.66,3157.11,0,1.62,0,0,9.19,0,402.26,0,0,0,0.89,4.85
 72-82,0,11.89,19.44,597.04,0,0,2.86,11.69,0,0,0,1,1.32,0.57,0,0,0,32.54,0,2.31,0.83,2311.78,0,2.46,0.75,0.8,1.65,1.09,175.47,0,0.9,5.57,0.91,3.34
 84-94,0,2.57,11.48,422.3,0,0.91,1.45,23.85,0,0,1.44,3.21,1.02,0,1.05,0,0,14.9,0,2.18,1.6,1344.1,0,0,1.22,0,12.73,0,125.2,0.85,2.01,0,0,4.59
 96-106,0,2.94,34.35,281.02,0.68,0.58,0.75,11.8,0,0,0.61,0,0.94,0.75,0,24.64,0.69,8.92,5.46,4.02,1.31,887.47,0,0,1.69,0,3.37,3.02,25.59,0,0,1.48,0,13.36
108-118,0,5.63,16.41,215.42,0.64,0,3.26,4.96,0,0,0,2.02,0.43,0,0,0,0,15.9,0,0,1.38,1145.05,0,3.64,2.89,1.23,4.15,0,33.27,0,0,1.15,0.6,0
120,0,2.09,12.82,306.64,1.18,0,0,47.72,1.18,0,0,2.52,1.76,0,0,0,0,23.31,1.49,2.47,1.5,1610.94,0,2.34,7.95,17.18,17.33,0,51.31,0,0,0,0,0
