stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.87,0,0,0,0,1.29,0,0,0,0,0,0,0.9,0,0,80.15,0.92,0,0,0,0,2.67,41.03,0,0,2.56,0,0
 24-34,0,0.64,0.96,9.01,0,0.61,5.68,0,0,0,0,0,0.95,7.23,0,11.46,373.81,1.56,0.65,0,0,0,0,98.17,0,0,8.47,0,0
 36-46,0,0,0,57.97,0,0,2.76,0,0,3.17,0,0,0,6.25,0,1.65,701,6.7,0.83,0,0,0,0,128.56,0,0,0,0,0
 48-58,0,1.35,0.43,229.36,0,0.75,14.62,0,0.55,0,0,0,0,16.46,0,4.7,1014.38,0.94,0.5,0.96,0,0.77,0,145.65,0,0,1.82,0,0
 60-70,0,0,0,789.03,0,0,36.39,0,0,0,0,0,0,17.48,0,0,1040.27,0,0,0,0,0,0,100.14,0,4.5,0,0,0.69
 72-82,0.76,5.18,0,745.34,0,0.62,12.61,0,1.32,0,0,0,0,35.47,0,0,1038.77,0,6.45,0,1.95,0,0,83.38,0.5,0,0,0.49,8.49
 84-94,0,1.51,0,530.74,0,2.64,8.83,0,0,2.01,3.15,0,0,34.57,0,0.61,703.55,0,0,0,4.32,0,0,78.03,1.86,2.72,0,0,0
 96-106,1.15,0.57,0,379.81,0,0,11.67,0,0.73,2.22,0,2.04,0,21.46,0.62,2.59,495.09,1.58,0,4.28,0,0,0,15.02,4.54,0,0,0,2.25
108-118,0.41,12.07,0,329.18,0,0,6.31,1.32,0,0,0,0,0,11.4,0.98,0,537.01,0,0,1.8,0,0.69,0,10.25,0,6.9,4.56,0,2.81
120,0,0,0,283.12,2.29,0,43.03,0,0,0,0,0,0,9.81,0,2.94,575.97,0,0,0,0,0,0,6.72,0,0,0,9.85,0
