stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.3,14.35,0,0,4.61,0,0,0,2.56,0.98,0,0,0,0,0,5.93,0,1.11,68.45,0,0,0,3.52,0,6.37,13.94,0,4.28,11.84,0,0,0
 24-34,0,0,0,0,0,4.38,0,0,0,0,0.68,0,0,0,0,0.9,2.69,0,2.03,54.4,0,0,0,0,0,1.35,0,0,1.7,5.18,1.15,0,0
 36-46,0,0,0,0,0,5.74,0,0,0,1,0,0,0,0,0,0,5.74,0,2.33,26.41,0,1.63,0,0,0,2.96,0,0,0,0.57,1.44,0,3.48
 48-58,0,0,0.4,0,0,17.63,0.84,0,0,2.61,0,0,0,0,0,0,3.01,0,0.69,20.53,0,0,0,0,0,0,0,0,0,5.89,5.59,0,0
 60-70,0,0,3.53,0.81,0,352.27,0,0,0.93,1.39,0,0,0,0,0,0,13.3,0,0,17.91,0,0,2.03,0,0,9.17,0,0,0,3.48,0,0,0
 72-82,0.5,0,0,1.17,0,498.07,0,0,0,9.28,0,0.66,0,1.02,0,0,11.74,6.51,6.17,14.59,0,0,0,0,1.12,3.52,0,0,0,0,5.54,0,0
 84-94,0,0,0.61,4.99,0,253.27,0,0.6,0,10.3,0,0,0,0,0,0,5.66,0,0,26.77,2.01,0,0,0,0,9.65,0,0,0,0,0.91,0.82,0
 96-106,0,0,2.1,5.63,0,260.8,0,0,0,11.43,0,0,0,0,0,0,8.97,2.19,3.22,20.05,0,0.93,1.55,0,0,8.26,0,0,0,0.86,2.59,1.17,0
108-118,0,0,7.37,0.42,0.46,239.37,0,0,0,5.72,0.62,0,1.11,0,0.63,0,12.57,0,0,44.78,0.45,0,0,0,0,2.01,0,1.69,0,0,3.92,0,0
120,0,0,1.19,0,5.41,139.3,0,0,0,10.37,0,0,0,0,1.77,0,28.2,0,11.61,28.92,0,0,0,0,0,4.31,0,0,0,0,0,0,0
