stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,vasculature
  3-4,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.96,0,0,0,5.1,0,0,9.5,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,33.22,0,0,0,0,0
 14-21,0,1.76,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0.71,0
 36-46,0,0,0,0,0.89,0,0,0.58,0.78,0,3.77,0,0,0,4.44,0
 48-58,0,0,0,0,0,0,0,0.49,0,0,0.83,3.97,0,0,0,0
 60-70,0,0,0.77,0,0,0,0,0,1.67,0,3.13,0,0,0,0,0
 72-82,0,0,1.03,0,0,0,0,0,1.84,6.51,0,1.67,0,0,0,0
 84-94,0,0,1.08,0,0,0,0,0,2.47,0,0,0,0,0,0,0
 96-106,0,0.6,1.48,0,0,0,1.32,0,2.7,0,0,0,0,0,0.61,1.61
108-118,0,0,1.38,0.72,0,0.43,0,0,0.67,0,0,0,2.95,0,0,0
120,0,3.19,0,0,0,0,0,1.25,8.62,0,6.62,0,0,0,0,0
