stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,50.57,1318.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0
  5-6,59.57,1163.45,0,0,0,0,0,0,0,0,0,0,7.43,14.56,0,0,22.39,0,0,0,0
  7-9,7.02,20.09,15.15,0,0,24.27,0,18.75,0,0,0,0,334.11,13.09,0,68.26,4.34,0,0,0,0
 10-12,0,8.11,0,0,6.18,16.37,0,7.6,0,0,0,0,171.26,3.08,0,31.6,0,36.54,0,0,0
 14-21,0,0,0,4.55,0,0.81,0.85,0,0,0,0.85,0,17.45,4.22,0,1.89,0,0,3.47,4.1,0
 24-34,0,0,0,0,0,0.68,0,0,0,0,6.14,0.78,16.84,0,0,0,0.73,0,1.26,3.39,0.64
 36-46,0,0,0,0,0,1.83,0,0,0,0,1.49,0.56,9.79,0,0,0,0,0,0,0.87,0
 48-58,0,0,0,0,0,2.18,0.89,0,0,0,0.82,0.59,5.12,0,0.38,0,0,0,0,1.84,0
 60-70,0,0,0,0,0,1.15,0,0,0,0,0,1.14,6.41,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.64,0,0.73,0,0.76,0,1.42,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.67,5.1,0,0.6,0,0,0,1.08,0,0,0,0
 96-106,0,0,0,0,0,1.59,0,0,0,0,0,0,1.05,0,0,0,2.06,0,0,0,0
108-118,0,0,0,1.05,0,0,0,0,0,0,1.14,0,1.18,0,0,0,1.3,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0
