stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.76,0,0,0,0,0,0,0,24.1,0,0,66.7,0,0,0.67,0,2.07,0,0,0,0,0,0,0,0.6,0,0,0,0,0
 48-58,0,1.05,0,4.63,2.03,0,0,0,0,2.48,0,116.19,0,0,97.15,0,0.52,0,0.43,12.82,0,0,0,0,2.11,0,0,0,5.89,0,0,0,18.29
 60-70,0,9.74,0,14.05,9.84,0,0,0,0,0,0,605.17,0,0,107.67,2.92,0,0,0,29.89,0,1.82,0,0,3.72,0,1.46,0,0,0,0,0,9.56
 72-82,0,1.13,0.54,15.69,50.78,0,5.35,5.58,1.45,8.43,0,558.31,0,0,40.18,3.32,0,0,3.92,10.7,0,2.09,0,1.78,5.23,1.81,0.49,0,13.13,1.16,0,1.22,78.54
 84-94,0,9.82,0.81,45.97,12.17,0,0,1.16,0,6.46,0,263.34,0,0,50.14,4.62,0,0,0.7,22.99,0,0,0,0,4.57,0.85,2.69,0,4.34,0,0,1,0
 96-106,0,7.96,0,28.16,135.94,0.89,0,13.49,0.83,7.78,0,177.78,1.14,11.17,20.82,21.12,0.83,5.55,12.18,34.19,0,0.57,1.77,0,8.4,0.73,3.59,0,0,0,1.01,4.12,11.87
108-118,7.22,13.45,6.87,70.63,192.24,0.59,0,12.75,4.12,16.82,0.49,169.64,3.46,5.46,23.79,29.86,0,1.29,38.56,105.47,0.61,0.8,0.43,0,9.82,4.06,17.33,0,1.08,0,0.99,9.91,19.43
120,2.52,19.52,0,51.73,124.11,2.6,0,20.89,18.01,36.93,0,307.36,0,0,16.21,54.26,0,0,18.22,39.18,0,0,0,4.48,14.69,8.4,9.57,0,0,0,0,1.26,0
