stage,eye,glial,mesenchyme,mural.cell,muscle,neural,olfactory,presomitic.mesoderm,spinal.cord
 10-12,0,0,0,0,0,15.71,0,0,0
 14-21,0.81,0,0,0,0,1.4,0,1.04,0
 24-34,0,0,0,0,0,5.1,0,0,3.22
 36-46,0,0,0,0,0.69,7.85,0,0,1.34
 48-58,0.46,0,1.04,0,0,4.54,1.14,0,1
 60-70,0,0.85,0.69,0,0,21.17,0,0,0
 72-82,1.17,0,0,0.88,0,2.91,1.24,0,0
 84-94,0,0,0,0,0,4.73,0,0,0
 96-106,0,0,0,0,0,1.32,0,0,0
108-118,0.88,0,3.49,0,0,5.56,0,0,0
