stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,0,22.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,97.3,0,0,3.96,25.49,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0,0,0,0,0,0,93.11,0,0,18.12,35.5,0,0,0,0,0,0
 14-21,0,0,0.82,0,14.85,0,2.45,0,0,1.06,0,0,0,64.06,0,0,2.28,6.84,5.31,36.89,2.74,5.07,0,493.04,53.73,1.23,2.73,9.94,0,0
 24-34,0,0,0,1.95,7.43,0,3.45,0.94,0,12.82,0,0,0,246.09,1.71,0,0.95,25.85,0,59.37,53.36,13.71,0,388.52,135.31,0,0.71,15.24,0,0.66
 36-46,0,0,0,0.84,1.23,0,1.53,4.85,0,11.43,8.68,0,0,118.89,4.01,0,5.44,16.77,0,85.64,83.24,69.67,0,349.55,89.01,0,0,10.54,0,0
 48-58,0,0,0,0,8.59,0,7.69,0,0,25.51,0,1.18,0,30.56,6,0,1.75,3.54,0,53.74,87.71,24.01,0,105.11,25.81,0,0,14.04,0,0
 60-70,0,0,0,0,7.07,0,21.9,12.7,0,27.73,2.03,0,0,14.15,26.1,0,1.05,9.28,0,37.43,72.61,35.53,0,54.31,29.32,0,0,19.71,1.62,0
 72-82,0,0,21.19,0,21.28,0,17.28,0,0,22.95,28.36,0,0,11.28,26.57,0,1.99,3.17,0,58.64,125.3,50.98,0,22.34,9.94,0,0,4.78,5.43,0
 84-94,0,0,20.35,2.9,23.31,2.36,22.11,1.26,0,2.18,40.35,0,0,52.38,31.29,0,4.71,3.78,0,61.65,168.23,88.4,0,33.61,19.76,0,0,11.68,2.8,0
 96-106,0,0,8.3,4.03,16.79,1.17,23.43,2.69,0.89,6.06,45.55,0,1.29,27.48,51.15,19.43,0,5.21,0,41.71,218.33,108.13,0,68.13,17.77,0,0,11.54,10.11,0
108-118,0,0,8.21,2.84,13.2,0,40.76,2.71,0,15.68,24.6,0,1.1,36.4,33.55,8.37,5.16,7.16,0,74.71,162.81,96.05,0,33.35,18.99,0,0,19.84,6.58,0.92
120,0,0,12.71,0,13.08,0,25.54,2.99,0,15.08,59.94,0,3.35,39.26,27.94,0,9.05,1.35,0,94.7,210.84,176.38,0,61.56,20.11,0,0,12.97,0,0
