stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,123.09,1273.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.29,0,0,0,0,0
  5-6,130.71,1732.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.82,0,0,0,0,28.49,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18,0,0,0,13.49,8.28,18.76,0,0,0,0
 10-12,0,4.58,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.66,0,0,0,0,0
 14-21,0,0,0,1.66,10.31,0,0,0.87,0,0,0,1.28,12.17,0,0,1.91,0,0,0,0.8,0,0,0,13.18,0,0,3.75,0,116.11,0,0,1.31,0,0
 24-34,0,0,0,0.84,3.45,0,0,2.64,0,0,0,1.84,1.41,3.27,0,0,0,0,0,0,0,0,0.96,6.42,0,1.48,0,0,92.54,0,0.65,0,0,1.33
 36-46,0,0,0,0,0.73,0,0,16.31,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,15.01,0,1.63,0,0,77.31,0,0,1.52,0,0.78
 48-58,0,0,0,0.42,8.74,0,0,0.98,0.41,0,0,2.49,0,0,0,0,0,0,0,0.59,1,0,0,8.75,0,0,0.51,0,61.9,0,0,0.92,0,0
 60-70,0,0,0,0,0.88,0,0,10.09,1.82,0,2.07,6.59,0,0,0,0,0,0,0,2.28,2.74,0,0,11.32,0,1.48,3.52,0,63.11,0,0,0.72,0,0
 72-82,0,0,0.87,0,15.43,0,0,2.48,0,0.67,0,7.88,0,0,1.34,0.67,0,0,0,4.89,7.01,0,0,7.71,4.93,0,2.98,0,34.58,0,0,0,0,0.64
 84-94,0,0,0,0,36.46,4.53,0,0.69,1.69,0,0,8.4,0,0,0,4.01,0,0,0,0.56,9.68,0,0,5.08,0,0,11.15,0,72.39,0,0,2.76,0.56,0
 96-106,0,0,0.99,0,21.88,0,2.34,14.86,1.34,0,0,32.08,0,0,0,0,0,0.76,0,0,5.08,0.73,0,22.28,0,5.4,4.36,0,104.14,0,0,1.39,2.03,0
108-118,0,0,1.87,0,20.48,0,6.15,13.52,1.18,0,3.31,18.6,0,0,0,1.86,2.01,0,2.65,6.74,12.6,0,0,3.19,0,2.02,4.35,0,72.02,0,0,1.46,0,0
120,0,0,0,0,24.93,0,11.18,0,0,0,0,9,0,0,0,3.12,0,4.47,0,0,13.61,0,0,7.27,0,0,10.58,0,51.93,0,0,0,0,0
