stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,17.78,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0
  7-9,16.89,22.77,0,0,0,0,0,18.24,0,0,5.39,0,0,0,0,0,0,0,70.52,19.42,0,0,4320.3,0,4.81,0,0,0,0,0,0,0,0
 10-12,0,0,0,88.32,0,0,0,18.88,0,0,27.43,0,0,0,0,0,0,0,393.34,136.69,0,0,9572.28,0,0,226.76,65.6,0,164.96,0,0,0,0
 14-21,0,6.58,0,0,9.5,18.03,0,5,0,0,0,0,0,0,0,1.83,0,33.78,157.59,0,1.98,0,7.72,1.56,0,4797.76,0,46.5,1747.86,8.54,0,0,0
 24-34,0,0,0.67,0,0.98,0,0,2.15,0,0,0,0,0,0,0,0.63,0,0,8.62,7.77,0,0,0,3.45,0,15.28,0,0,304.68,3.13,0,0.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,1.24,0,0.8,8.16,0,0,0,0,0.84,0,0,0,0,2.5,0,0,0,0
 48-58,0,0,0,0,0,0,0,8.5,0,0.94,0,0,0,0,0,6.83,0,0.45,9.36,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0
 60-70,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,1.05,2.35,0.63,0,13.12,0,0,0,0,3.36,0,0,0,0,0,9.34,0.71,0,0
 72-82,0,0,0,0,0,0,0,4.48,0,0.7,0,0,0,0,0,9.13,0,0,19.02,0,2.88,0,0,0,0,0,0,0,0,0.84,0,6.56,0
 84-94,0,0,0.94,0,0.65,0,0,4.92,0,1.81,0,0,0,0,0,1.48,0,1.13,15.04,0.67,0,0,0,0,0,0,0,0,0,3.82,0,0,0
 96-106,0,0,0,0,1.72,0,0,3.69,0,0.72,0,3.83,0.68,0,0,12.74,0,0,31.38,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.56,0,1.11,6.7,1.47,2.88,0,0,0,1.07,1.21,4.64,0,0.84,12.5,0,0.43,0.44,0,1.47,0,0,0,0,0,0,0,0,0.96
120,0,0,0,0,3.8,0,0,28.71,0,29.11,0,0,0,0,0,1.93,0,0,25.07,0,0,0,0,1.15,0,0,0,1.32,0,5.26,0,0,0
