stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0
 24-34,0,0,1.23,98.18,0.6,0,0,0,0,0,0,0,0,1.65,0,0,1.8,23.21,0,0,0,0.83,2.02,0,1.06,0
 36-46,0,0,0,90.32,0,0,0,1.3,0,0,0,0,0,0.64,0,0,0,17.79,3.1,0,0,0,6.23,0,0,0
 48-58,0,0,0,216.35,3.2,0,0,0,0,0,0,0,0,2.25,0,0.92,0,17.99,0,0,0,1.13,6.73,0,0,0
 60-70,0,0,4.43,281.35,18.19,0,0,0,0,0,0,0,0,0,0,0,0,21.81,0,0,0,3.54,3.51,0,0,0
 72-82,0,0,0.59,502.9,7.52,5.11,0,0,0,0,0,0,0.66,5.61,0,0,0,15.31,0,0,0,2.47,0,0,1.66,0
 84-94,0,0,0.87,607.56,8.44,0,0.59,1.38,0,0.58,2.14,1.22,0,2.05,0,0,0,13.74,0,1,0,2.46,0,0,0,0
 96-106,0,0,6.11,887.69,26.75,0,1.33,0,2.59,0,0,0,0,13.79,1.96,0,0,26.26,0,0,1.82,1.74,0,1.57,0,0
108-118,0,0,3.9,470.01,5.03,5.31,2.27,0.99,0,3.94,0,1.25,0,2.15,0,0,0,9.07,0,1.45,0,0,0,0,0.72,0.83
120,0,0,14.69,471.39,5.39,0,0,0,0,3.54,0,0,0,8.01,0,0,0,38.91,0,0,0,0,0,0,1.35,0
