stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.78,337.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.75,0,0,0,0,0,0,0,0,0
  5-6,13.16,557.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,18.35,0,0,0,0,0,0,0,0,0
  7-9,20.09,19.08,8.7,0,6.96,62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976.12,0,0,0,187.9,0,3.63,0,25.49,0,0,0,0,0,0,0
 10-12,0,17.28,12.74,0,0,36.61,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,548.04,7.29,0,0,66.06,0,3.3,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,4.65,0,1.88,0,0,1.08,4.05,0,0,0,0,0,0,2.3,0,0,0,47,0.99,0,0.94,0.84,0,1.15,2.55,0,4.43,5.66,5.76,0,1.09,0,0
 24-34,0,0,0,1.76,1,3.2,0.85,0,0.64,0,0,0,0,0,0,1.22,5.57,0,0,2.45,66.37,4.33,1.94,0,0,0,2.81,0,9.07,0.88,2.03,13.11,0,4.63,0,0
 36-46,0,0,0,0,0.67,6.69,0,0.7,0,0,0,0,0,1.21,0,0,5.67,0,0.67,4.1,153.48,0.59,1.48,0,0,0,18.92,0,4.28,0,0,36,0,3.56,0,0
 48-58,0,0,0,0.42,0.75,15.51,0,4.73,0.92,0,0,0,0,0,0.56,0,2.56,0,0,2.23,227.26,0,0,0,0,0,1,0,0,0,0,53.15,0,4.37,0,4.56
 60-70,0,0,0,4.65,0,40.34,0.68,2.33,0,0,0.88,0,0,0.85,0,3.26,5.18,3.37,0,1.02,426.39,0,0,0,0,0.63,2.26,0,0.62,0,0,168.74,0,2.11,0,0
 72-82,0,0,0,0,0.67,86.82,0,8.49,0,0,0,3.1,0,0,0,0,18.8,0,1.73,3.67,346.2,1.31,0,0.52,0,0,1.12,0,0,0,0,109.85,2.24,7.38,0,3.13
 84-94,0,0,0,0.56,0,44.9,0,16.02,2.59,0,0,0.82,0,0,0,9.04,4.85,0,2.23,0.76,208.44,0,0,0,0,0,5.76,0,1.04,0,0,39.25,0,11.78,0,4.04
 96-106,0,0,0,2.44,4.32,46.78,0,11.31,1.18,0,3.2,0,0.86,0,0,0,10.24,0,0,0,271.02,1.38,0,0,0,0,2.09,0,1.39,0,0,15.04,1.27,0.56,0,2.33
108-118,0,0,0,0,0.66,46.84,2.6,4.7,1.08,0,0,0.42,0,0.77,0,0,3.22,0,0,0,333.72,2.41,0,0.6,0,0,0,0,1.78,0,0,6.66,1.46,16.62,0,7.1
120,0,0,0,22.57,2.55,46.28,0,0,2.64,0,3.24,0,0,0,1.15,0,5.73,0,8.27,6.09,266.32,1.73,0,0,0,0,0,0,0,0,0,30.53,0,0,3.17,3.6
