stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0
 14-21,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,3.92,5.8,1.28,1.19,0,0,0,0
 24-34,0,3.24,0,1.17,10.44,0,0,0,0,0,3.33,5.05,0,0,0,5.41,33.23,0,10.45,30.51,10.85,4.44,0,0,0,0
 36-46,0,0.79,0,4.08,33.66,0,0,2.12,0,0,5.3,0,0,1.9,0.86,4.55,42.77,0,3.97,42.44,2.04,5.95,0,0.61,0,0
 48-58,0,0,0,9.26,8.11,0,0.45,1.7,0,0,2.29,0.58,0,8.74,0,3.51,68.27,4.77,5.83,7.11,0,8.53,0,0,0,0
 60-70,0,0.97,0,8.76,21.44,0.96,0,0,0,0,0,0,0,6.52,0,1.93,23.89,0,0,16.84,0,4.73,0,0,0,0
 72-82,0,1.11,0,19.25,13.54,0,0,0,0.88,0,2.66,0,0,5.45,0,5.8,23.85,0,5.95,5.08,0,9.28,0,0,0,0
 84-94,0,2.59,1.22,0,6.8,0,0,0.66,2.28,0,3.57,0,0,7.32,0,2.59,23.75,0,9.07,12.36,0,0,0,0,0,0
 96-106,0,1.71,0,18.83,10.28,0,0,0.86,0,1.08,0.81,0,0,2.58,3.26,0,23.36,0,12.5,11.73,0,3.78,0,0,1.43,0
108-118,0,1.21,0,22.2,13.39,0,0,3.58,1.13,0,10.08,0,0.7,2.01,0,4.28,4.97,0,8.4,8.19,0,0,0.42,1.01,0,3.89
120,0,7.42,0,0,16.94,0,0,0,0,0,6.12,0,0,0,0,3.26,9.26,0,0,3.26,0,0,0,0,0,0
