stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,5403.9,74291.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5379.82,0,0,0,0,0,0,0,0,0,0
  5-6,16918.19,198106.46,0,210.65,0,0,0,0,0,0,0,0,0,221.24,0,0,0,0,0,0,0,0,0,0,0,4966.12,439.54,0,0,1211.5,0,5464.06,0,0,0,0,0,0,0,0,0,0
  7-9,954.76,1602.96,0,2568.02,0,5.98,0,3233.35,0,0,0,0,0,590.89,0,0,0,0,0,0,0,0,0,0,0,57852.54,948.12,0,0,17006.15,0,151.95,361.36,0,0,0,0,0,0,0,0,0
 10-12,7.59,275.76,0,321.79,0,53.01,0,568.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,6719.72,94.85,0,0,1652.79,0,0,171.17,10.72,181.74,21.07,22.66,0,0,0,0,0
 14-21,2.31,0,0,17.1,165.88,85.73,0,307.07,0,0,0,49.97,3.72,0,3.29,0,6.67,0.96,1.14,0,0.88,123.83,0,0,83.24,2426.57,21.05,0,19.03,53.11,0,10.59,8.96,181.94,10.17,201.01,543.8,0,0,3.07,0,0.84
 24-34,0,0,0,8.91,23.35,28.48,0,407.18,0,0,0.89,40.13,4.49,1.15,0,0.71,13.93,0.7,2.47,1.68,0,147.7,0,2.04,49.72,1858.71,5.84,2.26,16.01,1,0,18.32,0.86,1.1,2.61,16.92,266.5,0,0,14.84,0,3.5
 36-46,0,0,0,0.96,17.69,0.59,0,252.37,0,0,1.42,35.85,1.39,0,1.36,4.01,0,9.28,1.78,3.41,0,99,0,5.14,25.03,712.53,3.53,0.65,3.7,0,0,4.25,4.44,0,2.25,0,125.69,0,0,1.25,0,0
 48-58,0,0,0,0,23.03,0,0,250.84,0,0,3.35,34.33,0.71,0,0.53,1.16,1.07,3.15,2.13,2.37,0,97.51,0,6.82,16.05,311.67,1.05,2.38,9.96,0,0,1.45,0,0,0.92,0,36.35,0,0,9.1,0.9,0.48
 60-70,0,0,0,0,8.61,0.7,0,100.08,0,0,1.61,54.57,3.59,0,0,0.78,3.61,1.04,5.56,3.05,0,64.51,0,5.64,11.69,195.31,0,1.89,6.79,0,5.48,3.45,0,0,1.54,0,10.44,0,0,3.42,0.64,3.58
 72-82,0,0,0,0,12.12,3.33,0,56.72,0,5.69,3.77,60.4,2.28,0,0,4.12,1.65,0.93,1.28,0,0,92.25,0,1.85,22.81,153.29,0.88,0.74,0,0,1.4,9.01,0,0,0,0,11.09,0.81,1.62,11.22,0,0
 84-94,0,0,0.8,0,22.6,6.91,0,74.65,0,1.82,4.09,38.39,0.82,0,1.14,4.8,2.14,4.2,5.71,0,0,75.19,0.78,15.96,22.67,140.51,0.89,0,6.69,0,0.77,6.72,0,0,0.57,0,11,1.27,2.78,15.46,1.73,0
 96-106,0,0,2.25,0,13.16,8.51,0,68.37,0,1.62,3.52,48.08,8.47,0,0.86,7.76,0.56,0,1.75,6.33,0,75.31,0.68,4.81,12.4,124.93,0,3.11,2.29,0,0.83,18.17,0.93,0,0,0,10.07,0,4.65,11.66,1.71,4.81
108-118,0,0,0,0,32.53,10.7,2.14,66.06,0,4.91,3.91,70.11,3.04,0,0.61,4.78,1.92,1.23,2.27,0.79,0,103.05,0,3.95,29.52,160.93,0,0.5,2.92,0,0,16.6,1.74,0,0,0,10.02,0.66,0,11.42,0,0
120,0,0,0,0,25.78,15.28,0,45.42,1.99,2.48,4.88,54.32,2.35,0,0,14.8,2.91,0,1.84,0,0,108.08,0,7.29,33.28,104.85,2.58,4.38,0,0,0,5.3,0,0,1.83,0,2.68,0,0,17.19,4.8,0
