stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,somites,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.07,0,9.56,0,0,0,0
 14-21,0.93,1.92,0,0,0,0,0,0,0,0,0,0,0,1.25,0.8,0,0,0
 24-34,5.18,0,0,0,0,0,0,0,0.81,0,0.71,1.93,0.61,30.35,0,0.82,0,5.98
 36-46,14.14,0,0.66,11.26,0,0,0,0,0,0.86,0,10.55,0,58.27,0,0,0,1.71
 48-58,15,0,0.91,1.47,0,0,0,0,0,1.8,0,2.62,0,34.17,0,1.4,0,0.61
 60-70,1.76,0.71,1.2,2.07,0,0,0,1.22,0,1.3,0,2.71,0,43.85,0,0,0,3.09
 72-82,5.9,0,1.48,1.64,0,0,0,0.55,0,2.33,0,2.63,0,30.13,0,0,0.5,4.75
 84-94,11.41,0,0,0,0,0,0.98,1.77,1.72,1.37,0,0,0,62.07,0,0,0,9.42
 96-106,16.25,0,4.09,4.69,0,0,0,0.86,0,1.71,2.02,0,0,86.88,0,0,0,2.32
108-118,8.84,0,0,0.56,0,0.49,0,0.44,0.67,0,0,8.59,0,60.72,0,0,0,3.57
120,31.68,0,0,4.12,2.81,0,0,0,0,0,2.78,0,0,54.96,0,0,0,0
