stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.3,0,26.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,2.32,0,0,0,0,0,0,0,0.84,0,0,0,0
 24-34,0,0.69,0,1240.13,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,112.3,0,0,0,0,0,0,3.73,21.74,0,0,1.44,0
 36-46,0,2.64,0,11400.15,0,1.24,2.71,8.12,0,0,3.28,0,0,0,0,17.42,16.41,0,0,1.29,418.1,0,6.06,0,2.99,0,3.15,0.91,88.65,0,0,6.2,12.09
 48-58,0,20.49,11.57,8603.77,0.42,0,5.23,79.11,1.77,2.5,2.03,0,0.46,1.21,6.91,1.85,66.84,1.11,4.41,33.91,880.29,10.55,0.64,12.1,2.84,2.48,0,0,116.2,0,1.45,13.74,20.21
 60-70,0,1.5,1.61,4210.9,0,6.91,0,21.75,0,0,0,0.71,0,0,0,0,12.18,0,28.1,0.92,239.93,7.37,4.45,0,2.82,0,0,0,26.03,0,0,2.36,8.01
 72-82,0,2.86,0,1214.75,0,2.19,5.67,11.43,0,0,0,0,0,0,0,0,10.52,0,2.79,0,105.18,0,0,0,4.06,0,0,0,2.79,0,0,3.23,0
 84-94,0,3.55,0.87,1357.89,0,0,0,63.7,0,0,0,1.53,11.06,0,0,0,8.52,0,0,1.95,136.21,0,0.71,8.93,1.14,0,0,0,6.45,0.57,0,0,21.64
 96-106,0,2.75,0,1113.8,0,5.16,0,13.96,0,0,0,0,1.14,0,0,0,17.58,0,0,0,188.24,0.64,0.6,0,0.78,0,0,0,0,0,0,7.49,0
108-118,0,3.27,5.2,1482.49,0,0,0,9.4,0,0,0,0,0,0,0,0,21.14,0,0,0,228.02,0,0,0,2.51,0,0,0,0,0,0,0.46,4.31
120,0,0,0,866.21,0,0,0,24.83,0,0,0,0,0,1.2,0,0,0,0,11.02,0,178.43,0,16.95,0,5.86,0,0,0,0,0,0,0,0
