stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,588.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0
  5-6,25.08,378.8,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,44.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.49,0,0,40.26,0,0,0,0,0,0,0,0,0,0,0,0,0,397.28,18.3,0,0,65.55,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.74,20.2,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,260.71,0,0,0,37.68,0,0,0,5.05,0,0,0,0,0,0
 14-21,0,0,0,2.72,1.86,0.92,0,0,1.08,0,0,0,0,0,0,4.92,0,0,11.23,32.14,0,0,0,2.41,5.91,1.07,0,1.19,10.91,0,0,0,0,0
 24-34,0,0,1.51,1.52,0,19.79,0,0,1.94,0,0,0,0,0,0,9.34,0,0,0.61,55.52,0,0.6,0,0,0.67,0,0,0,19.55,0,0,0,0,0
 36-46,0,0,0,1.58,0,26.79,0,0,0,0,0,0,0,0,0,11.14,0,0,0.73,32.51,0,0,1.79,0,0,0,0,0,4.94,0,0,1.46,0,0
 48-58,0,0,0,0.76,0,24.86,0,0,0,0,0,0.53,1.26,0,0,6.46,0,0.79,4.53,43.89,0,0,0,0,0.7,0,0,0,1.43,0,0,0,0,0
 60-70,0,0,0,0.77,0,81.2,0.62,0,1.62,0,0,0,0,0,0,8.21,0,0,0,37.09,0,0,0,0,3.87,0,0,0,0,0,0,1.59,0,0
 72-82,0,0,0,2.66,0,201.94,0,1.43,2.03,0.51,0,0,0,0,0,8.26,0,0,0.53,33.55,0,0.75,0,0,0,0,0,0,0,3.4,0,0,0.92,0
 84-94,0,0,0,0,0,150.58,0,0,1.25,0,0,1.06,0,0,0,12.26,0,0.72,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
 96-106,0,0,0,0.58,0,234.34,0.67,0,5.64,0,0,0,0,0,0,5.5,3.88,0,1.15,19.92,0,0,0.8,0,0.95,0,0.6,0,0,0,0,1.35,0,0
108-118,0,0,0,2.22,1.2,203.48,0,0,0,0,0,0,0,1.09,0.44,6.84,0,0,0.54,21.76,0,0,0,0,0,0,0,0,0.44,0.44,0.99,1.64,0,0
120,0,0,0,8.83,0,312.17,0,2.33,0,0,0,0,12.88,0,1.5,8.78,0,0,1.27,20.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
