stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites
  3-4,35.03,2416.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.47,0,0
  5-6,92.73,1592.57,0,10.49,0,0,0,0,0,0,0,0,24.91,0,0,0,23.51,32.63,0,0
  7-9,3.43,5.83,0,0,0,0,0,0,0,0,0,0,199.29,14.99,0,0,65.44,8.28,12.44,0
 10-12,0,0,0,0,0,29.06,0,0,0,0,0,0,127.42,0,0,0,71.58,3.3,0,4.75
 14-21,0,0,0,0,2.65,0,0,0,0,0,0,0,1.22,0,0,0,0,4.43,0,1.32
 24-34,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0.83,0,0,0,1.39,0,0
 36-46,0,0,0,0,1.35,0,0,0,0,0,1.64,0,0.89,0,2.36,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.4,0,1.61,0,0,0,0,0,0,0,0,0,0,3.14,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0
 84-94,0,0,1.29,0,0.88,0,0,0,0.56,0,0,0,0,0,0,0,0,1.15,0,0
 96-106,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,1.79,0.77,0,4.37,0,0
108-118,0,0,1,0,5.79,0,0,0,0,1.31,0.73,0,1.06,0,3.47,1.84,0,1,0,0
120,0,0,0,0,0,0,1.88,1.25,0,0,0,0,4.08,0,0,0,0,0,0,0
