stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.92,1.06,1.82,0,1.01,0,0,0.86,0,1.73,15.5,0.85,0,0,2.43,0,0.88,2,0.81,0,0,0
 24-34,2.1,0,0,0,0,11.61,0,0,1.62,1.78,27.06,0,1.28,0,0,0,0,1.48,12.27,0,1.46,0
 36-46,0,0,2.46,0,1.2,0,0,0,0.6,1.86,28,0.62,0,20,0,0,0,0,6.51,0,0,1.16
 48-58,0.4,0,10.09,0,3.08,0,0,0,7.11,0.42,24.74,0,0,0,0,0,0,0,5.45,0,0.91,0
 60-70,0,0,39.9,1.85,4.48,0,2.21,0,10.17,0,52.39,0,0,0,0,0,0,0,4.67,0,4.35,0
 72-82,0,8.61,16.97,1.05,0.63,0,0.51,0,2.02,0,16.72,0,0,0,0,0,0,0,4.27,0,0,0
 84-94,0,0,16.59,0,2.12,0,0,0,3.4,0.82,15.85,0,0,0.74,0,0,0,0,0.94,3.74,1.06,0
 96-106,1.65,0,5.27,0,1.98,0,0,0,1.97,0.57,1.13,0,0,1.54,0,0,0,0,0,0,0,0
108-118,0,0,4.59,0,1.54,2.36,0,0,0.79,0,8.08,0.46,0,0.68,0,4.19,0,0,2.35,0,0,0
120,0,0,0,0,0,0,0,0,4.43,0,28.14,0,0,0,0,0,0,0,0,0,0,0
