stage,endocrine_pancreas,epidermis,eye,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,neural,olfactory,otic,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.35,0,0,0.81,1.41,0,0
 24-34,0,0,0,0,0,0,0,0,0,8.52,0,0,0,14,0,0
 36-46,0,0,0,0,0,0,0,0,0,13.89,0,0,0,12.44,0,0
 48-58,0,0,1.89,2.03,0,0,0,1.16,0,21.86,0.88,0,0,7.12,0,0
 60-70,0,1.02,43.25,0,0,0,0,1.29,0,24.35,1.08,0,0,13.08,0,0
 72-82,0,0,34.74,0,0.71,0,0,3.42,0.75,43.05,0,0.65,0,3.19,0,0
 84-94,2.22,1.18,14.77,0,0,0,0,4.8,0,28.29,0,0,0,1.83,0,0
 96-106,0,0,4.42,1.99,0,0,0,4.38,0,2.9,0,0,0,0,0,0.58
108-118,0,0,14.59,7.67,0,0,0,3.87,0,15.69,0,0,0,0,0,0
120,0,0,16.61,0,0,0,1.91,11.93,0,27.78,0,3.65,0,0,6.44,2.99
