stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.29,0,0,0,0,0,42.23,0,8.42,0,0,0,0,0,0
 10-12,9.71,0,0,0,0,0,0,0,0,31.82,0,0,0,0,0,0,0,0
 14-21,0,3.19,1.02,0,0,0,0,0,0,4.54,0,0,1.54,3.64,1.15,3.2,0.86,0
 24-34,0,0,0,3.11,0,0,0,2.53,0,13.01,0,0,0,0,0,0,5.3,0
 36-46,0,0,0,0,0,0,0,0,0.56,15.58,0,0,0,0,0,0,4.59,1.78
 48-58,0,0,0,0,0,0,0,0.44,0.38,12.75,0,3.66,0,0,0,0,0,0
 60-70,0,0,0,1.59,0.7,2.09,0.6,0.92,0,16.56,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.28,0,3.32,0,1.26,0,7.86,0.69,0,0,0,0,0,1.59,0.52
 84-94,0,0,0,7.15,0,0,1.11,3.47,0,4.81,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.68,0,1.78,0,0,0.85,0,0,0,0,0,3.35,0
108-118,0,0,0,1.52,0,2.05,0,1.4,0,5.57,0,0,0,0,0.53,0,0,0
120,0,0,0,2.79,0,6.18,0,15.88,0,8.33,0,0,0,0,0,0,0,0
