stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,59.9,1220.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.22,0,0,0,0
  5-6,55.28,235.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,10.04,0,0,0,0,0
  7-9,0,0,10.06,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,24.71,0,0,0,0,0,12.04,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79,16.06,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.12,0,0,0,0,2.29,0,0,0,1.16,0,0,7.08,0,0,0,0,0,0,0,1.98,0
 24-34,0,0,0,1.85,0,0.62,0,0,0,0,0,0,0,0,1.83,0,0.65,4.81,5.18,0,0,0,0,0,1.71,0.6,0
 36-46,0,0,0,0.67,0,0,0.74,0,0,0,0,0,0,0,9.63,0,0,7.83,0.69,0,0,0,0,0,0.59,0,0
 48-58,0,0,0,0,0,1.98,0,0,1.6,0,0,0,0,0,10.49,0,2.31,6.06,0,0,1.69,0,0,0,0.68,0.91,0.37
 60-70,0,0,0,0.72,0,0,2.07,0,0.7,0,0,0,0,0,3.68,0,0.9,1.51,0,0,0,0,0,0,0,2.29,0
 72-82,0,0,0,1.3,0,0,0,0,2.42,1.4,0,0,0,0,11.63,0,0,1.45,0,0,3,0,0,0,0,0,3.24
 84-94,0,0,0,1.7,0,0,0.66,2.34,0,0,0,0,0,0,23.44,0,2.04,0,1.94,0,0,0,0,0,0,0,0
 96-106,0,0,0,19.06,0,0,0,0,2.2,0.75,0,0,1.07,0,7.2,0.56,0,3.14,0,2.95,0,0,0,0,1.15,0,0
108-118,0,0,0,2.12,0.82,0,0.43,0,0,3.28,0,1.41,0,0.55,11.91,0,0,5.83,0.59,1.62,2.72,0,0,0,1.34,0,2.01
120,0,0,0,4.93,0,0,1.06,0,0,1.33,0,0,0,0,30.51,0,0,10.62,0,0,2.49,0,0,0,0,5,0
