stage,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,8.01,0,0,0
 14-21,0,0,0,0,0,0.86,0,0,1.13,1.12,0
 24-34,0,1.21,0,0,0.74,0.63,18,0,0,1.68,0
 36-46,0.89,0,1,0,0,1.02,7.89,0,0,2.07,0
 48-58,0,3.11,0,0,4.79,0.49,10.57,0,0,3.5,3.35
 60-70,0.65,5.08,1.93,0,0,0,3.89,0,0,1.13,0
 72-82,0,3.76,0,0,1.56,0,5.07,0,0,1.64,0
 84-94,1.26,0,1.05,0,0.78,0,0.81,0,0,2.38,0.69
 96-106,1.46,9.24,0,0,1.73,0.77,0,0,0,0,0
108-118,0,1.2,0.77,0,0.87,0,0,0,0,0,0
120,1.18,8.2,0,3.84,4.34,0,0,0,0,0,0
