stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.8,1.07,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,10.5,0,0,0,0,0,0,5.75,0,1.82,0,0,0,0,0
 24-34,0,0,0.73,0,0,0,0,0,0,0.62,0,1.08,1.94,0,0,0,0,0,0,1.44,0,0,1.26,16.24,0,0.9,0,0,0,9.02,0,0,4.16,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.02,0,0,1.71,0,0,0,0,0,0.91,7.27,0,0,0,15.18,0,4.27,0,0,0,22.4,0,0,4.26,0,0,0,0,0
 48-58,0,0,0,0,0,0.51,0,0,0,2,0,0,0,0,0,0,1.04,0,0,1.86,0,0,0.39,15.61,0,0.64,0,0,0,5.86,0,0,0,0,0,0.87,0,0
 60-70,0,0,0,0,19.83,3.38,0,0,0,2.21,0,0,0,0,0,0,0,0,0,5.76,0,0,0,14.02,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0
 72-82,0,0,4,0,572.87,30.52,0,0.78,2.06,3.35,0,0,0,0,0,0,0,2.5,0,15.18,0,0,0,86.14,0,0,0,0,2.24,3.91,0,0,5.85,0,6.82,1.84,0,0
 84-94,0,0,0,2.89,1174.36,15.85,0,0,0,1.73,0,0,0.6,0,0,0,0,6.43,0,12.14,2.96,0.84,0.88,95.87,0,0,0,0,0,12.55,0,0,5.28,0,0,0,0,0
 96-106,1.08,0,13.55,20.44,2772.16,86.39,4.31,0,0,19.44,10.47,0,0,6.14,0,1.03,5,17.12,0,33,3.31,0,2.3,181.1,0,2.65,0,0,0,32.51,0,0.83,2.85,0,0,6.88,1.91,8.79
108-118,0,0,21.23,29.78,5777.83,181.22,0.86,3.18,2.29,49.48,2.37,0,0.47,3.21,6.91,10.14,0.89,13.74,4.83,131.29,9.81,3.62,4.53,391.92,0.86,1.55,0.87,0,4.95,34.46,0,0.43,14.55,4.38,2.98,10.38,2.12,18.68
120,0,0,26.66,15.65,3376.81,74.05,0,8.42,0,23.88,1.93,0,0,22.17,1.72,0,0,0,0,69.7,0,0,0,494.45,4.62,0,15.03,0,0,11.77,0,0,0,6.78,0,5.02,10.8,0
