stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,3.85,13.08,0.83,0,0,0,0,0,0.9,49.22,466.83,1.31,0,0,0
 24-34,0.98,0,14.23,415.07,3.01,0,0,0,0,0,0.64,0,0,19.43,0,0,77.47,138.6,0.67,0,0.83,0,2.6,1.58,0,91.28,525.7,25.51,0.76,0,8.28
 36-46,0,0,11.23,526.52,0,0,0,0,0,0,0,0.94,0,2.49,1.19,0,43.45,54.76,0,0,0,0,3.31,0,0,62.32,22.22,13.43,0,0,0
 48-58,3.97,2.22,24.43,320.84,0,1.16,5.06,0,0.5,0,0,0,0,11.13,0,0,16.16,121.09,0.44,0,0.37,0,0.59,0,0,20.32,0,20.25,0,0,0.96
 60-70,0,1.1,19.32,136.16,4.06,0,0,0,0,0,0,1.15,0,10,1.83,0,8.28,51.42,0,0,0,0,3.28,0,0,3.3,0,0,2.38,1.46,0
 72-82,0,0.61,24.83,67.2,0,0,2.29,0,0,0.49,0,0,0,9.08,0,0,15.31,33.18,0,0,0,0,2.67,0,0,6.96,0,0,0,0,0
 84-94,0.7,8.29,39.84,72.95,0,7.48,0,0.58,0,0,0,1.05,0,7.92,0,0.81,3.04,22.92,0,0,0,4.14,0,0,0,6.15,0,0,11.72,0,0
 96-106,8.7,0,26.68,57.03,0,1.81,4.66,0,0,0,0,0,0,16.81,0,0,2.57,27.69,0,0.89,4.63,0,4.9,0,0,1.62,0,0,1.37,0,0
108-118,1.29,0,16.35,42.07,0,0,0.93,0,0,0,0,0,7.11,5.48,0,0,12.27,7.48,0,0,0,0,0.96,0,0,0.94,0,0,0,0.5,0
120,0,0,8.3,16.19,0,0,0,0,0,0,0,0,0,0,0,0,13.34,20.83,0,2.2,0,0,0,0,0,0,0,0,0,0,0
