stage,axial,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,spinal.cord
  7-9,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.73,0.85,0,0,1.19,0,0,0,0,0,0,6.3,0,0,2.07
 24-34,0,0,0,0,0,0,0,1.45,0,0,0.7,0,0.64,15.71,0,0,1.56
 36-46,0,0,0,0,1.54,0.86,0,0.57,0,0,16.53,1.25,0,67.32,1.02,0,5.78
 48-58,0,0,0,0,12.02,7.14,0,0,0,5.61,8.64,0,0,121.86,0.97,0,8.1
 60-70,0,0,0,0,23.71,10.62,0,0,0,0,13.06,0,0,261.14,0,0,26.91
 72-82,0,0.69,0,0,34.37,3.74,0,0,0,0,6.23,0,0.86,251.51,0,2.2,7.96
 84-94,0,0,0,0.73,39.69,5.53,0,0,0.91,0,1.97,0,0,119.15,0,1.87,1.38
 96-106,0,0,0,0,21.23,4.99,0,0,0,0,3.59,0,0,140.36,0,0.67,0
108-118,0,0,0,0,35,9.7,0,0,0,0,12.1,1.62,0,122.62,0,0,3.12
120,0,0,0,0,14.97,11.11,0,0,0,0,0,0,0,266.23,0,0,7.22
