stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.92,0,0,0,8.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.22,1395.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,7.62,3.46,0,1.02,0,0,0,1.04,0,0,0.89,0,0,1.77,0,0
 24-34,0,0.75,0,0.62,2934.55,0,4.34,0,0.7,1.02,4.19,0,3.94,1.25,0.63,0,0,0,7.46,3.44,0,3.11,119.71,0.87,0,0.78,0,0,5.12,0,0,1.28,24.42,0,0,15.24,0,0
 36-46,0,0,0,3.45,1156.04,0,4.95,0,0,0.62,0,0,0,0,0,0,0,0,6.19,4.64,0,0,41.7,0,0,0,0,0,3.05,0,0,0,11.97,0,0,3.36,0,0
 48-58,0,0,0,4.05,2090.22,0,44.09,0,0.8,0.83,2.76,0,0,0,0,0,0,0,0,4.87,2.16,2.3,64.55,0,0,0,0,0,0,0,6.84,0,10.98,0,0,6.16,0,1.48
 60-70,0,0,0,0,1684.77,0,54.18,0,0,0,0,1.07,0,0,1.79,0,0,0,0,12.17,0,0,59.33,0,1.29,0,0,0,6.47,0,0,0,14.73,0,0,8.63,0,0
 72-82,0,0,0,2.18,2423.82,2.45,59.96,0,0,0.56,29.39,0,1.06,1.58,0,0,0,2.52,0,41.06,6.37,1.64,103.8,0,2.92,4.42,0,0,5.45,0,0,0,3.25,0,2.98,7.89,1.27,13.89
 84-94,0,0,0,3.26,2014.51,0,46.38,6.33,0,0,4.59,3.24,4.35,13.12,0,4.43,0,0,0,21.47,68.99,1.04,74.02,0,0,0,0,0,15.64,0,0,0,1.02,0.66,0,1.8,0,9.28
 96-106,0,0,0,10.09,3606.5,0,62.35,0,1.83,0,2.92,1.36,0,0.58,0,0,0.74,0,0,15.87,35.78,4.88,85.13,0,0.59,1.39,0,0,20.11,0,3.51,0,16.26,3.5,6.59,20.68,0,0
108-118,0,0.52,0,2.53,2445.4,0,20.25,1.13,0.77,0,11.39,2.71,4.84,3.21,1.85,5.85,0,0.6,0,24.11,61.73,2.08,36.14,0,3.39,0,0,2.06,5.87,0,0,0,0,1.87,0,6.49,0.97,0
120,0,0,0,4.23,3304.07,5.3,58.56,3.1,1.55,0,42.54,9.13,0,1.3,0,0,0,8.26,0,10.38,113.95,0,166.97,0,0,0,0,0,7.49,0,0,0,0,0,5.4,18.9,0,0
