stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,72.95,9.7,0,0,3.9,0,0,0,0,0,0
 10-12,0,7.46,0,0,0,3.13,0,0,0,0,0,3.59,0,0,0,0,0,0,45.93,0,0,0,8.35,0,0,0,0,0,0
 14-21,0,0,2.56,0,0,2.94,0,0,0,0,0,0,0,0,0,1.56,0,0,19.16,0,0,0,0,0,0.85,19.47,0,0,0
 24-34,0,0,0,0,0,4.15,0,0,0,4.11,0,0,0,0,0,0,0,0.83,195.69,0,1.36,0.95,0,0,0,54.97,0.77,0,0
 36-46,0,0,0,0,0,25.49,0,0,0,5.75,0,0,0,0,0,3.29,0,1.51,474.63,0,0,0,0,11.09,0,90.04,0,0,0
 48-58,0,0,0.88,0,0,70.02,1.23,0,0,20.22,0,0,0,4.12,0,23.62,0,0,644.03,0,0,1.69,0,0.84,0,145.18,0,0,4.03
 60-70,0,0,0,0,0,403.57,0,0,0,22.04,1.57,0,0,0,0,21.65,0,7.43,835.53,0,0,7.86,0,0,0,137.66,0,0,0
 72-82,1.9,0,1.72,1.63,0,706.01,0,0.71,1.22,13.89,0.56,0,1.6,0,0.92,37.15,0.77,0.8,730.26,0,0.55,0,0,0,0,51.39,2.49,4.53,2.94
 84-94,0,0,4.69,0,0,472.02,0,0,0,30.15,1.03,0,0,0,0,29.96,0.57,0.76,426.09,0,0,0,0,0,0,51.35,0,0,0
 96-106,0,0,1.43,8.11,1.05,485.36,0,0,0,14.57,0,0,0,0,0,33.11,0,0,338.05,0,0,1.88,0,1.66,0,17.25,0,3.78,0
108-118,0,0,2.45,2.22,0,492.05,0,0,0.44,13.93,4.06,0,0,0,0,24.16,0,4.49,487.55,0,0.7,0.6,0,0,0,26.71,1.24,0,0
120,0,0,1.56,0,0,185.77,0,1.88,5.02,48.4,0,0,0,1.43,0,40.75,0,0,635.7,0,11.19,0,0,0,0,39.54,0,0,0
