stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.04,153.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.42,357.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0,0,0,0,12.09,0,0,0,0,0,0,0,0
  7-9,3.55,0,7.02,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.21,3.33,0,0,14.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,7.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,71.86,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,3.28,0,0,0,0,0,0,0,1.37,0,0,0,0,0
 48-58,0,0,0,8.19,0,0,710.87,0,0,0,3.17,0,0,0.37,0,0,0,0,1.06,0,0,4.79,43.41,0,0,0,0,0,0,0,1.98,0,0,0.79,0,0
 60-70,5.05,0,0,3.91,0,0,3876.13,1.23,0,3.06,5.26,0,0,3.07,0,0,0,0,1.82,0,7.03,1.43,79.8,0,1.02,0,0,2.14,0,0,6.18,0,4.5,0,0,16.88
 72-82,0,0,0,7.95,5.04,0,4798.5,0,0,2.23,26.35,1.68,0,8.29,0.57,0.57,0,5.32,16.11,1.76,0.96,0.51,130.97,0,0,1.42,0,0,0.64,0,7.43,2.32,0,10.53,1.76,0.67
 84-94,0,0,0,3.68,0.74,0,3922.39,0.76,0,0,58.08,0,0,3.88,0,0,0.65,0,17.92,0,4.34,0.76,132.05,0,0,1.4,0,4.21,0,0.79,3.27,0,5.94,0,0,0
 96-106,0,0,0,6.9,12.5,0,3989.53,0,4.14,0,20.24,1.15,1.06,12.73,0,2.67,0,5.58,34.27,0.68,0,0,103.84,0,0,0,0,6.4,0,0,4.5,0,0.56,1.28,0.59,0
108-118,0,0,0,7.09,8.21,0.5,3459.69,0.44,0,6.61,13.77,0,0,9.3,0,0.51,0,2.45,10.7,2.33,0,2.07,122.75,0,1.69,0,0,6.55,1.48,0,2.52,3.42,0.99,0,0,0
120,0,0,3.17,5.84,10.43,0,2337.32,0,1.75,0,45.28,1.38,0,5.49,0,0,0,0,15.11,0,0,0,126.89,4.43,0,0,0,0,0,0,8.48,0,0,0,0,8.94
