stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0
 14-21,1.65,0,0,0,0,0,0.92,0,0,0,4,0,0,5.06,14.04,1.39,0,0.85,0,1.98,1.22,33.81,5.22,1.99,0
 24-34,0,0,0,0,0,2.51,0,0,0,0,3.32,0,0,0.92,82.62,0,0.61,0,0.8,0,0,0,0,6.04,0
 36-46,0,0,1.52,0,0,0,0,0,0,0,4.69,0,1.08,1.3,222.38,0,1.03,0,0.6,0,0,0,0,4.82,0
 48-58,0.43,0,9.42,0,0,2.58,0,0,0,0,2.35,0,0,1.23,231.45,0,0,0,0.4,0,0,0.4,0,3.17,0.71
 60-70,0.72,0,18.89,1.49,0,0,0,0,0,0,4.91,0,0,0,221.09,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.02,24.16,0,0,4.97,0,0,0,0.94,4.11,0,0.67,0.84,296.71,0,0,0,0,0,0,0,0,5.8,0
 84-94,0,0,13.59,0,1.2,2.83,0,0,0,0,2.69,0,0,0,245.78,0,0,0,2.23,0,0.7,0,0,2.12,0
 96-106,2.85,1.54,13.08,0,2.03,1.69,0,0,0,0.57,10.31,3.31,0,0,149.37,0,0,0,7.22,0,0,0,0,0,0
108-118,4.27,0,12.83,0,0,4.23,0,0,1.02,0.67,3.81,0,0,0,215.56,0,0,0,0,0,0,0,0,6.13,0.51
120,0,0,1.17,0,0,13.53,0,0,0,6.45,7.68,0,0,0,403.47,0,0,0,0,0,0,0,0,8.39,0
