stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,7.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,18.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0.82,0.98,0,0,0
 24-34,0,0.79,4.23,0,0,0,0,0,0,0,0,0,0,3.12,0,2.96,61.58,0.59,0,0,0,0,0,0,0,7.22,0,0.77,1.12
 36-46,0,0,15.75,2.57,0,0,0,1.99,0,0,0,0,0,6.32,1.97,1.32,38.22,0,0,0,0,1.75,13.81,0,0,7.92,0,1.69,0
 48-58,0,5.87,15.82,1.04,3.39,0,0,0,0,0,0,0,0,4.5,0,3.37,27.91,1.33,0,7.57,0,6.51,0,0,0,14.62,0,0,0
 60-70,0,6.47,60.81,0,0,7.26,12.16,0,0,0,0,0,0,10.65,0,0,80.97,0,0,0,0,2.54,0,1.84,0,10.8,0,0,0
 72-82,0,0.78,38.71,0,0,0,6.41,0,0,3.94,0.52,1.66,0,10.06,1.45,0,41.24,0,0.53,0,0,0.58,0,0,0,0,0,1.82,1.94
 84-94,0,0,28.05,0,0,5.86,8.61,0,2.02,0.68,0.76,1.52,0.96,16.97,1.01,1.22,15.82,0,0,5.4,0,0,1.17,0,0,0,0,8.11,0
 96-106,0,0,0.98,0,0,2.21,1.08,0,0,0,0,0,0,2.65,0,3.85,19.75,0,0,0,0,0,0,0,0,0,1.27,0,0
108-118,0,0,3.45,0.65,0,0,1.48,4.29,0,0,0,0,0,3.16,0,3.46,16.91,0,0,0,0,4.63,0.89,0,0,1.26,0,1.3,0
120,0,12.97,55.47,2.29,0,0,8.63,1.09,8.52,0,0,0,0,3.6,0,10.28,127.99,0,0,0,0,8.37,3.93,0,0,0,0,1.41,0
