stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,92.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.82,6.82,0,43.32,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.26,0,0,0,12.54,10.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,116.18,0,11.83,0,0,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,186.64,12.14,0,0,24.15,46.69,0,5.68,0,0,0,0,0,0,0
 14-21,0,0,0,2.78,61.94,6.46,0,0,0,0.87,0,0,3.28,0,0,4.07,0,0,22.03,0,6.3,0,0,2.25,23.75,17.65,0,1.09,0,321.87,2.07,0.87,3.81,10.08,0,0,1.45,0,0
 24-34,0,0,0,0.59,48.43,1.3,0,3.27,0.68,18.98,0,1.38,2.08,6.5,0,27.81,0,0.91,13.02,0.67,1.68,8.71,0,3.37,78.24,0,3.92,0,0,304.3,0,0,0.76,10.12,0,0,3.02,0,0
 36-46,0,0,0,0,18.24,0,0,14.43,9.59,24.64,0,3.6,2.09,0,0,28.38,0,0,0,0,17.06,7.5,0,0,64.08,0,5.53,0,0,458.55,0,0,0,8.87,0,0,6.74,0,0
 48-58,0,0,0,0,27.32,0,0,27.02,3.84,51.28,0.44,9.5,7.5,2.4,0,8.44,0,1.59,0,0,6.09,12.84,0,3.01,87.54,0,6.82,0.43,0,283.33,0,0,0,7.2,0,0,3.71,0,0
 60-70,0,0,0,0,27.49,0,0,35.54,1,72.7,0.84,2.77,26.86,2.82,0,41.47,0,0,0,3.44,12.34,9.73,3.46,0.88,52.9,0,7.27,0,0,272.43,0,0,0,4.62,1.42,0,6.03,0,0
 72-82,0,0,0,0,36.62,5.49,0,36.33,0.55,53.41,0,4.2,82.52,1.78,0,11.26,0,4.72,0,0,11.34,33.72,0,0.92,46.14,0,10.76,0,0,168.24,0,0,0,0.67,13.79,0,13.45,0,0
 84-94,0,0,0,0,32.37,10.77,0,37.01,0.55,84.37,0,8.58,163.03,0.71,0,15.63,0,1.63,3.3,0,4.2,21.83,1.22,0,11.35,0,6.76,0.92,0,404.17,0,0.67,0,0,20.38,0,8.91,0,0
 96-106,0,0,3.39,0,52.85,7.47,0.72,37.08,0,105.15,0,8.63,195.02,0,0,35.64,0.74,3.19,11.3,0,6.63,32.28,3.47,0,61.97,0,20.05,1.5,0,253.45,0,0,0,12.23,36.58,0.94,24.19,0,5.99
108-118,0,0,0,1.57,86.49,0.88,11.72,55.54,1.63,160.23,1.46,5.78,223.99,0,0.49,32.98,0.43,3.3,3,0,13.31,27.91,0,1.07,55.66,0,23.5,0,0,214.06,0,0,0,0,56.89,0,31.66,1.26,0
120,1.12,0,0,0,83.19,0,0,50.43,1.1,146.1,0,14.95,148.16,0,1.38,27.82,0,0,3.42,0,11.72,15.51,0,2.24,87.52,0,28.1,2.92,0,113.5,0,4.24,0,0,35.97,0,73.36,0,0
